Text,Tag
ore,O
AVIVA,B-SUPP_N
DOORS,I-SUPP_N
Factory,O
Address:-,O
GAT,O
NO.255B,O
PLOT,O
NO.26/27,O
JYOTIBA,O
NAGAR,O
TALAWADE,O
PUNE-411062,O
Registered,O
office,O
:,O
-,O
E-83,O
Adinath,O
Society,O
.,O
Pune,O
-,O
Satara,O
Road,O
PUNE,O
-,O
411037,O
CONTACT,O
:,O
-,O
20,O
-,O
24269505,O
Mob:-,O
91,O
8446380632,O
-,O
Email:-,O
avivadoor@gmail.com,O
Duplicate,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
:,O
TI-326/19,B-INV_NO
-,I-INV_NO
20,I-INV_NO
:,O
24-07-2019,B-INV_DT
TAX,O
INVOICE,O
Buyer,O
Party,O
SIDDHARTH,B-BUY_N
REAL,I-BUY_N
VENTURES,I-BUY_N
LLP,I-BUY_N
.,I-BUY_N
OFFICE,O
NO-601,O
&,O
602,O
MCCLA,O
TRAD,O
TOWER,O
ICC,O
COMPLEX,O
BAPAT,O
ROAD,O
-,O
PUNE,O
MO.7745893778,O
PUNE,O
Place,O
of,O
Supply,O
:,O
27-Maharashtra,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
•,O
27ACMFS9508BIZX,B-BUY_G
24-07-2019,O
Vehicle,O
No,O
.,O
:,O
MAI4EM5235,O
Site,O
Name,O
:,O
SERENITY,O
SERENITY,O
PO,O
-,O
NO,O
-,O
SAA,O
NN/2018/419,O
Despatch,O
Thr,O
.,O
*,O
POOJA,O
TEMPO,O
MSN,O
/,O
SAC,O
2,O
Sq,O
.,O
Ft,O
.,O
28644,O
por882,O
2,O
GRN216464,O
CNR,O
P.o-882,O
Sub,O
Total,O
28644,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AARFA8194Jize,B-SUPP_G
Bank,O
Name,O
*,O
INDIAN,O
BANK,O
Bank,O
A,O
/,O
C.,O
No,O
.,O
0.894914709,O
RTGS,O
/,O
IFSC,O
Code,O
*,O
IDIBOOONO12,O
Five,O
Thousand,O
One,O
Hundred,O
Fifty,O
Five,O
And,O
Ninety,O
Two,O
Paise,O
Only,O
Tho,O
Taxable,O
Amount,O
28644,O
2577.96,O
BIN,O
Amount,O
:,O
Thirty,O
Three,O
Thousand,O
Eight,O
Hundred,O
Only,O
HSN,O
Summary,O
:,O
Grand,B-GT_AMTL
Total,I-GT_AMTL
"33,800",B-GT_AMT
SCST,O
Amount,O
Terms,O
&,O
Condition,O
:,O
For,O
AVIVA,O
DOORS,O
3,O
.,O
Our,O
risk,O
and,O
responsiblity,O
ceases,O
as,O
soon,O
as,O
the,O
goods,O
leave,O
our,O
premises,O
.,O
4,O
.,O
*,O
Subject,O
to,O
"""",O
PUNE,O
Jurisdiction,O
only,O
.,O
E&.0,O
.,O
E,O
*,O
Déparation,O
-,O
VWe,O
here,O
by,O
certly,O
that,O
mylour,O
registration,O
certificate,O
under,O
the,O
GST,O
Is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sales,O
of,O
the,O
goods,O
spected,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
Somalen,O
OOR,O
PUNE,O
*,O
and,O
it,O
shall,O
be,O
accounted,O
for,O
in,O
the,O
turnover,O
of,O
sales,O
while,O
niling,O
or,O
return,O
and,O
the,O
due,O
tax,O
.,O
(,O
Authorised,O
Signatory,O
),O
