Text,Tag
AVIVA,B-SUPP_N
DOORS,I-SUPP_N
Factory,O
Address:-,O
GAT,O
NO.255B,O
PLOT,O
NO.26/27,O
JYOTIBA,O
NAGAR,O
TALAWADE,O
PUNE-411062,O
istered,O
office,O
:,O
-,O
E-83,O
Adinath,O
Society,O
Pune,O
-,O
Satara,O
Road,O
PUNE,O
-,O
411037,O
CONTACT,O
:,O
-,O
20,O
-,O
24269505,O
Mob:-,O
91,O
8446380632,O
-,O
Email,O
:,O
-,O
avivadoor@gmail.com,O
TAX,O
INVOICE,O
Original,O
Buye,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
:,O
TI-500/18,B-INV_NO
-,I-INV_NO
19,I-INV_NO
M,O
/,O
s,O
.,O
Date,B-INV_DL
:,O
25-12-2018,B-INV_DT
DHARTH,B-BUY_N
REAL,I-BUY_N
VENTURES,I-BUY_N
LLP,I-BUY_N
.,I-BUY_N
CE,O
NO-601,O
&,O
602,O
MCCLA,O
TRAD,O
TOWER,O
ICC,O
COMPLEX,O
\T,O
ROAD,O
-,O
PUNE,O
MO-7745895778,O
Po,O
/,O
Ref,O
No,O
.,O
:,O
3084,O
488,O
©,O
Ch,O
.,O
No,O
.,O
:,O
1029,O
Plac,O
.,O
:,O
27-Maharashtra,O
:,O
27ACMFS9508B1ZX,B-BUY_G
Ch,O
Date,O
.,O
:,O
GST,O
25-12-2018,O
Vehicle,O
No,O
.,O
:,O
MH14EM2398,O
ERENITY,O
Site,O
Del.,O
Despatch,O
Thr,O
.,O
:,O
DATTA,O
UD,O
ROAD,O
OTHRUD,O
O,O
-,O
NO-9975258821,O
PO,O
:,O
NoFANN,O
),O
2018-Hig,O
SrNc,O
Product,O
Name,O
HSN,O
/,O
SAC,O
Nos,O
Total,O
Rate,O
GST%,O
Amount,O
3SL,O
DOOR,O
-,O
MD,O
4418,O
9,O
9,O
Sq,O
.,O
Ft,O
.,O
14322,O
18,O
128898,O
SITE,O
NAME,O
:,O
RECEIVED,O
Seventy,O
me,O
DATE:-,O
8,O
1111a,O
mu,O
GATE,O
ENTRY,O
CODE.1.9.3.6,O
.,O
........,O
VELCIE,O
NO,O
...,O
MH:12.Em.2398,O
OUT,O
TIME,O
............,O
GST,O
27AARFA8194J1ZP,B-SUPP_G
Sub,O
Total,O
128898,O
Bank,O
ank,O
RTGS,O
:,O
INDIAN,O
BANK,O
:,O
894914709,O
:,O
IDIBOOONO12,O
to,O
#NAME?,O
de,O
Total,O
128898,O
wenty,O
Three,O
Thousand,O
Two,O
Hundred,O
One,O
And,O
Sixty,O
Four,O
Paise,O
Only,O
ne,O
Lakh,O
Fifty,O
Two,O
Thousand,O
One,O
Hundred,O
Only,O
Taxable,O
Amount,O
CGST,O
SGST,O
Round,O
Off,O
Billa,O
11600.82,O
11600.82,O
0.36,O
Grand,B-GT_AMTL
Total,I-GT_AMTL
HSN,O
"1,52,100.00",B-GT_AMT
y,O
:,O
HS,O
Per,O
%,O
Taxable,O
Value,O
128898,O
CGST,O
Amount,O
11600.82,O
SGST,O
Amount,O
11600.82,O
4418,O
18,O
%,O
Term,O
cion,O
:,O
For,O
AVIVA,O
DOORS,O
1,O
.,O
G,O
2,O
.,O
In,O
3,O
.,O
O,O
4,O
.,O
"""",O
SI,O
old,O
will,O
not,O
be,O
taken,O
back,O
.,O
%,O
p.a,O
.,O
will,O
be,O
charged,O
if,O
payment,O
is,O
not,O
made,O
within,O
due,O
date,O
.,O
responsibility,O
ceases,O
as,O
soon,O
as,O
the,O
goods,O
leave,O
our,O
premises,O
.,O
INE,O
',O
Jurisdiction,O
only,O
.,O
E.,O
&,O
.O.E,O
"""",O
Ve,O
here,O
by,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
Is,O
-,O
in2,O
on,O
which,O
the,O
sales,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
the,O
transaction,O
of,O
sales,O
covered,O
by,O
this,O
tax,O
invoice,O
has,O
been,O
by,O
me,O
/,O
us,O
ccounted,O
for,O
in,O
the,O
turnover,O
of,O
sales,O
while,O
filling,O
of,O
return,O
and,O
the,O
dustay,O
DOORS,O
1,O
Vens,O
Decla,O
force,O
mel,O
!,O
and,O
it,O
If,O
an,O
the,O
sales,O
bac,O
boonid,O
or,O
challbonaid,O
11,O
roes,O
Aria,O
Siantar,O
