Text,Tag
AVIVA,B-SUPP_N
DOORS,I-SUPP_N
Factory,O
Address:-,O
GAT,O
NO.255B,O
PLOT,O
NO.26/27,O
JYOTIBA,O
NAGAR,O
TALAWADE,O
PUNE-411062,O
Registered,O
office,O
:,O
-,O
E-83,O
Adinath,O
Society,O
Pune,O
-,O
Satara,O
Road,O
PUNE,O
-,O
411037,O
CONTACT,O
:,O
-,O
20,O
-,O
24269505,O
Mob:-,O
91,O
8446380632,O
-,O
Email,O
:,O
-,O
avivadoor@gmail.com,O
TAX,O
INVOICE,O
Original,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
:,O
TI-194/20,B-INV_NO
-,I-INV_NO
21,I-INV_NO
Date,B-INV_DL
:,O
22-10-2020,B-INV_DT
Buyer,O
Party,O
M,O
/,O
s,O
.,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
SIDDHARTH,O
EDEN,O
COURT,O
MODEL,O
COIONY,O
PUNE,O
-,O
MO,O
-,O
NO-8308846229,O
11859-BANER,O
PUNE,O
Place,O
of,O
Supply,O
:,O
27-Maharashtra,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
Po,O
/,O
Ref,O
No,O
.,O
:,O
4046-BED,O
E,O
-,O
WING,O
Ch,O
.,O
No,O
.,O
:,O
4046,O
Ch,O
Date,O
.,O
:,O
22-10-2020,O
Vehicle,O
No,O
.,O
:,O
MH14HG2249,O
Site,O
Name,O
:,O
SKYBAY,O
Del,O
.,O
Add,O
:,O
SAARRTHI,O
BANER,O
Skybay,O
Despatch,O
Thr,O
.,O
:,O
SANDEEP,O
SrNo,O
Product,O
Name,O
HSN,O
/,O
SAC,O
Nos,O
Total,O
Rate,O
GST%,O
Amount,O
135MM,O
BSL-,O
DOOR,O
-,O
BED,O
4418,O
32,O
32,O
Sq,O
.,O
Ft,O
.,O
8700,O
18,O
278400,O
h,O
po-12085,O
ERN-,O
14418146,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AARFA8194J1ZP,B-SUPP_G
Sub,O
Total,O
278400,O
Bank,O
Name,O
:,O
INDIAN,O
BANK,O
Bank,O
A,O
/,O
c,O
.,O
No,O
.,O
:,O
894914709,O
RTGS,O
/,O
IFSC,O
Code,O
:,O
IDIBOOONO12,O
Total,O
GST,O
:,O
Fifty,O
Thousand,O
One,O
Hundred,O
Twelve,O
Only,O
Taxable,O
Amount,O
278400,O
Bill,O
Amount,O
:,O
Three,O
Lakh,O
Twenty,O
Eight,O
Thousand,O
Five,O
Hundred,O
Twelve,O
Only,O
CGST,O
SGST,O
25056,O
25056,O
HSN,O
Summary,O
:,O
Grand,B-GT_AMTL
Total,I-GT_AMTL
"3,28,512.00",B-GT_AMT
1,O
HSN,O
Code,O
Per,O
%,O
Taxable,O
Value,O
CGST,O
Amount,O
25056,O
4418,O
Recreiud,O
SGST,O
Amount,O
25056,O
18,O
%,O
278400,O
26-10-2020,O
For,O
AVIVA,O
DOORS,O
Terms,O
&,O
Condition,O
:,O
1,O
.,O
Goods,O
once,O
sold,O
will,O
not,O
be,O
taken,O
back,O
.,O
2,O
.,O
Interest,O
@18,O
%,O
p.a,O
.,O
will,O
be,O
charged,O
if,O
payment,O
is,O
not,O
made,O
within,O
due,O
date,O
.,O
3,O
.,O
Our,O
risk,O
and,O
responsibility,O
ceases,O
as,O
soon,O
as,O
the,O
goods,O
leave,O
our,O
premises,O
.,O
4,O
.,O
"""",O
Subject,O
to,O
',O
PUNE,O
',O
Jurisdiction,O
only,O
.,O
E.&.O.E,O
"""",O
"Declaration:-""I",O
/,O
We,O
here,O
by,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sales,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
me/,O
us,O
and,O
that,O
the,O
transaction,O
of,O
sales,O
covered,O
by,O
this,O
tax,O
invoice,O
has,O
been,O
effected,O
by,O
me,O
/,O
us,O
SNnd,O
and,O
it,O
shall,O
be,O
accounted,O
for,O
in,O
the,O
