Text,Tag
AVIVA,B-SUPP_N
DOORS,I-SUPP_N
Factory,O
Address:-,O
GAT,O
NO.255B,O
PLOT,O
NO.26/27,O
JYOTIBA,O
NAGAR,O
TALAWADE,O
PUNE-411062,O
Registered,O
office,O
:,O
#NAME?,O
Adinath,O
Society,O
Pune,O
-,O
Satara,O
Road,O
PUNE,O
-,O
411037,O
CONTACT,O
:,O
-,O
20,O
-,O
24269505,O
Mob:-,O
91,O
8446380632,O
-,O
Email,O
:,O
-,O
avivadoor@gmail.com,O
Original,O
TAX,O
INVOICE,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
:,O
TI-69/20,B-INV_NO
-,I-INV_NO
21,I-INV_NO
Buyer,O
Party,O
M,O
/,O
s,O
.,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
.,I-BUY_N
EDEN,O
COURT,O
MODEL,O
COLONY,O
PUNE,O
Date,B-INV_DL
:,O
23-08-2020,B-INV_DT
Po,O
/,O
Ref,O
No,O
.,O
:,O
Ch,O
.,O
No,O
.,O
:,O
182/183/184/185,O
PUNE,O
Place,O
of,O
Supply,O
:,O
27-Maharashtra,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
Ch,O
Date,O
.,O
:,O
22-08-2020,O
Vehicle,O
No,O
.,O
:,O
MH14HG2249,O
Site,O
Name,O
:,O
SUCCESS,O
SQUARE,O
Del,O
.,O
Add,O
:,O
KARVE,O
NAGAR,O
Despatch,O
Thr,O
.,O
:,O
SANDEEP,O
Rate,O
Amount,O
HSN,O
/,O
SAC,O
Nos,O
Total,O
GST%,O
Product,O
Name,O
SrNo,O
4418,O
18,O
4,O
NOS,O
4,O
8600,O
34400,O
1,O
32MM,O
BSL,O
-,O
DOOR,O
-,O
BED,O
4418,O
26,O
26,O
NOS,O
4100,O
106600,O
18,O
2,O
32,O
mm,O
w,O
/,O
c,O
bath-1,O
&,O
2.5-bhk,O
-,O
flat,O
4418,O
4,O
4,O
NOS,O
10000,O
18,O
40000,O
3,O
35MM,O
laminated,O
door,O
-,O
MAIN,O
DOOR,O
Sub,O
Total,O
181000,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AARFA8194J1ZP,B-SUPP_G
Bank,O
Name,O
:,O
INDIAN,O
BANK,O
Bank,O
A,O
/,O
c,O
.,O
No,O
.,O
:,O
894914709,O
RTGS,O
/,O
IFSC,O
Code,O
:,O
IDIBOOONO12,O
Total,O
GST,O
:,O
Thirty,O
Two,O
Thousand,O
Five,O
Hundred,O
Eighty,O
Only,O
Taxable,O
Amount,O
CGST,O
SGST,O
181000,O
16290,O
16290,O
Bill,O
Amount,O
:,O
Two,O
Lakh,O
Thirteen,O
Thousand,O
Five,O
Hundred,O
Eighty,O
Only,O
Grand,B-GT_AMTL
Total,I-GT_AMTL
"2,13,580.00",B-GT_AMT
HSN,O
Summary,O
:,O
Note,O
:,O
-,O
HSN,O
Code,O
Per,O
%,O
Taxable,O
Value,O
CGST,O
Amount,O
16290,O
SGST,O
Amount,O
16290,O
4418,O
18,O
%,O
181000,O
For,O
AVIVA,O
DOORS,O
Terms,O
&,O
Condition,O
:,O
1,O
.,O
Goods,O
once,O
sold,O
will,O
not,O
be,O
taken,O
back,O
.,O
2,O
.,O
Interest,O
@18,O
%,O
p.a,O
.,O
will,O
be,O
charged,O
if,O
payment,O
is,O
not,O
made,O
within,O
due,O
date,O
.,O
3,O
.,O
Our,O
risk,O
and,O
responsibility,O
ceases,O
as,O
soon,O
as,O
the,O
goods,O
leave,O
our,O
premises,O
.,O
4,O
.,O
"""",O
Subject,O
to,O
',O
PUNE,O
',O
Jurisdiction,O
only,O
.,O
E.&.O.E,O
"""",O
Declaration,O
:,O
"-""I",O
/,O
We,O
here,O
by,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sales,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
me/,O
us,O
and,O
that,O
the,O
transaction,O
of,O
sales,O
covered,O
by,O
this,O
tax,O
invoice,O
has,O
been,O
effected,O
by,O
me,O
/,O
us,O
A,O
PUNE,O
