Text,Tag
AVIVA,B-SUPP_N
DOORS,I-SUPP_N
Factory,O
Address:-,O
GAT,O
NO.255B,O
PLOT,O
NO.26/27,O
JYOTIBA,O
NAGAR,O
TALAWADE,O
PUNE-411062,O
Registered,O
office,O
:,O
#NAME?,O
Adinath,O
Society,O
Pune,O
-,O
Satara,O
Road,O
PUNE,O
-,O
411037,O
CONTACT,O
:,O
-,O
20,O
-,O
24269505,O
Mob:-,O
91,O
8446380632,O
-,O
Email:-,O
avivadoor@gmail.com,O
Original,O
TAX,O
INVOICE,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
:,O
TI-17/20,B-INV_NO
-,I-INV_NO
21,I-INV_NO
Date,B-INV_DL
:,O
20-06-2020,B-INV_DT
Buyer,O
Party,O
M,O
/,O
s,O
.,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
.,I-BUY_N
EDEN,O
COURT,O
MODEL,O
COLONY,O
PUNE,O
Po,O
/,O
Ref,O
No,O
.,O
:,O
Ch,O
.,O
No,O
.,O
:,O
15,O
PUNE,O
Place,O
of,O
Supply,O
:,O
27-Maharashtra,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AAZFS3607CIZY,B-BUY_G
Ch,O
Date,O
.,O
:,O
29-05-2020,O
Vehicle,O
No,O
.,O
:,O
MH14,O
EM5235,O
Site,O
Name,O
:,O
Del.,O
Add,O
:,O
SUCCESS,O
KARVE,O
-,O
NAGAR,O
Despatch,O
Thr,O
.,O
:,O
Rate,O
GST%,O
Amount,O
Total,O
HSN,O
/,O
SAC,O
Nos,O
SrNo,O
Product,O
Name,O
8600,O
18,O
94600,O
4418,O
11,O
11,O
NOS,O
1,O
32,O
mm,O
laminates,O
door,O
com,O
-,O
bed,O
&,O
masbed,O
door,O
ah,O
Sub,O
Total,O
94600,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AARFA8194J1ZP,B-SUPP_G
Bank,O
Name,O
:,O
INDIAN,O
BANK,O
Bank,O
A,O
/,O
c,O
.,O
No,O
.,O
:,O
894914709,O
GS,O
/,O
IFSC,O
Code,O
:,O
IDIBOOONO12,O
Total,O
GST,O
:,O
Seventeen,O
Thousand,O
Twenty,O
Eight,O
Only,O
Taxable,O
Amount,O
94600,O
CGST,O
SGST,O
8514,O
8514,O
Bill,O
Amount,O
:,O
One,O
Lakh,O
Eleven,O
Thousand,O
Six,O
Hundred,O
Twenty,O
Eight,O
Only,O
Grand,B-GT_AMTL
Total,I-GT_AMTL
"1,11,628.00",B-GT_AMT
HSN,O
Summary,O
:,O
HSN,O
Code,O
Per,O
%,O
Taxable,O
Value,O
CGST,O
Amount,O
8514,O
SGST,O
Amount,O
8514,O
94600,O
18,O
%,O
4418,O
For,O
AVIVA,O
DOORS,O
FORS,O
Terms,O
&,O
Condition,O
:,O
1,O
.,O
Goods,O
once,O
sold,O
will,O
not,O
be,O
taken,O
back,O
.,O
2,O
.,O
Interest,O
@18,O
%,O
p.a,O
.,O
will,O
be,O
charged,O
if,O
payment,O
is,O
not,O
made,O
within,O
due,O
date,O
.,O
3,O
.,O
Our,O
risk,O
and,O
responsibility,O
ceases,O
as,O
soon,O
as,O
the,O
goods,O
leave,O
our,O
premises,O
.,O
4,O
.,O
"""",O
Subject,O
to,O
',O
PUNE,O
',O
Jurisdiction,O
only,O
.,O
E.&.O.E,O
"""",O
.,O
Declaration,O
:,O
"-""I",O
/,O
We,O
here,O
by,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sales,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
me/,O
us,O
and,O
that,O
the,O
transaction,O
of,O
sales,O
covered,O
by,O
this,O
tax,O
invoice,O
has,O
been,O
effected,O
by,O
me,O
/,O
us,O
for,O
in,O
the,O
turnover,O
of,O
sales,O
while,O
filling,O
of,O
return,O
and,O
the,O
due,O
tax,O
.,O
PUNE,O
Cinatorul,O
