Text,Tag
AVIVA,B-SUPP_N
DOORS,I-SUPP_N
Factory,O
Address:-,O
GAT,O
NO.255B,O
PLOT,O
NO.26/27,O
JYOTIBA,O
NAGAR,O
TALAWADE,O
PUNE-411062,O
Registered,O
office,O
:,O
-,O
E-83,O
Adinath,O
Society,O
Pune,O
-,O
Satara,O
Road,O
PUNE,O
-,O
411037,O
CONTACT,O
:,O
-,O
20,O
-,O
24269505,O
Mob:-,O
91,O
8446380632,O
-,O
Email,O
:,O
-,O
avivadoor@gmail.com,O
TAX,O
INVOICE,O
Original,O
Buyer,O
Party,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
:,O
TI-154/20,B-INV_NO
-,I-INV_NO
21,I-INV_NO
M,O
/,O
s,O
.,O
:,O
SIDDHARTH,B-BUY_N
VALUE,I-BUY_N
HOMES,I-BUY_N
LLP,I-BUY_N
Siddharth,O
Value,O
Homes,O
Lip,O
Pune,O
-,O
Maharshtra,O
.,O
Date,B-INV_DL
:,O
04-10-2020,B-INV_DT
Po,O
/,O
Ref,O
No,O
.,O
:,O
4050/4069,O
Ch,O
.,O
No,O
.,O
:,O
353/354/355,O
PUNE,O
Place,O
of,O
Supply,O
:,O
27-Maharashtra,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27ACZFS0314C1Z4,B-BUY_G
28,29
Ch,O
Date,O
.,O
:,O
04-10-2020,O
Vehicle,O
No,O
.,O
:,O
MH14HG2249,O
Site,O
Name,O
:,O
SAVVY,O
HOMES,O
Del,O
.,O
Add,O
:,O
HINJWADI,O
Despatch,O
Thr,O
.,O
:,O
SANDEEP,O
SrNo,O
Product,O
Name,O
HSN,O
/,O
SAC,O
Nos,O
Total,O
Rate,O
GST%,O
Amount,O
132MM,O
BSL,O
-,O
DOOR,O
-,O
BED,O
4418,O
48,O
48,O
NOS,O
8400,O
18,O
403200,O
4418,O
2,O
32,O
mm,O
w,O
/,O
c,O
15,O
15,O
NOS,O
4150,O
18,O
62150,O
-,O
16542/29,O
430,O
Samy,O
Homes,O
an,O
Sub,O
Total,O
465350,O
GSTIN,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AARFA8194J1ZP,B-SUPP_G
Bank,O
Name,O
:,O
INDIAN,O
BANK,O
Dank,O
A,O
/,O
c,O
.,O
No,O
.,O
:,O
894914709,O
GS,O
/,O
IFSC,O
Code,O
:,O
IDIBOOON012,O
Total,O
GST,O
:,O
Eighty,O
Three,O
Thousand,O
Seven,O
Hundred,O
Sixty,O
Three,O
Only,O
Taxable,O
Amount,O
465350,O
Bill,O
Amount,O
:,O
Five,O
Lakh,O
Forty,O
Nine,O
Thousand,O
One,O
Hundred,O
Thirteen,O
Only,O
CGST,O
SGST,O
41881.5,O
41881.5,O
HSN,O
Summary,O
:,O
Grand,B-GT_AMTL
Total,I-GT_AMTL
"5,49,113.00",B-GT_AMT
HSN,O
Code,O
Note,O
:,O
-,O
Per,O
%,O
Taxable,O
Value,O
4418,O
CGST,O
Amount,O
41881.5,O
18,O
%,O
465350,O
SGST,O
Amount,O
41881.5,O
he,O
For,O
AVIVA,O
DOORS,O
Terms,O
&,O
Condition,O
:,O
1,O
.,O
Goods,O
once,O
sold,O
will,O
not,O
be,O
taken,O
back,O
.,O
2,O
.,O
Interest,O
@18,O
%,O
p.a,O
.,O
will,O
be,O
charged,O
if,O
payment,O
is,O
not,O
made,O
within,O
due,O
date,O
.,O
3,O
.,O
Our,O
risk,O
and,O
responsibility,O
ceases,O
as,O
soon,O
as,O
the,O
goods,O
leave,O
our,O
premises,O
.,O
4,O
.,O
"""",O
Subject,O
to,O
',O
PUNE,O
',O
Jurisdiction,O
only,O
.,O
E.,O
&,O
.0.E,O
"""",O
"Declaration:-""I",O
/,O
We,O
here,O
by,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sales,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
me/,O
us,O
and,O
that,O
the,O
transaction,O
of,O
sales,O
covered,O
by,O
this,O
tax,O
invoice,O
has,O
been,O
effected,O
by,O
me,O
/,O
us,O
and,O
it,O
shall,O
be,O
accounted,O
for,O
in,O
the,O
turnover,O
of,O
sales,O
while,O
filling,O
of,O
return,O
and,O
the,O
due,O
tax,O
.,O
5.10.20,O
GOORS,O
PUNE,O
A,O
Janda,O
If,O
anynayable,O
on,O
the,O
