Text,Tag
RSS,O
II,O
OM,O
11,O
10,O
INDIA,B-SUPP_N
CABLES,I-SUPP_N
Corporate,O
Office,O
Address:410,O
Ishwari,O
Krupa,O
Apartments,O
Near,O
Pasodya,O
Vithobha,O
Mandir,O
Budhwar,O
Peth,O
Pune,O
-,O
411002,O
PH,O
:,O
20,O
-,O
6640,O
5720,O
/,O
5721,O
66029616,O
Website,O
:,O
www.indiacables.in,O
E,O
-,O
Mail,O
:,O
sales@indiacables.in,O
.,O
GST,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AAFF14780E1ZC,B-SUPP_G
PAN,O
No,O
:,O
AAFF14780E,O
Dispatch,O
From,O
:,O
410,O
Ishwari,O
Krupa,O
Apartments,O
Near,O
Pasodya,O
Vithoba,O
Mandir,O
Budhwar,O
Peth,O
Pune.411002,O
TAX,O
INVOICE(Page,O
2,O
),O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
Bill,O
To,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
Ship,O
To,O
:,O
SIDDHARTH,O
PROPERTIES,O
e,O
-,O
Way,O
Bill,O
No,O
601,O
&,O
602,O
A,O
Wing,O
MCCIA,O
Trade,O
Tower,O
Site-,O
Kasi,O
Kapadi,O
Puram,O
Invoice,B-INV_L
No,I-INV_L
:,O
N-0405,B-INV_NO
-,I-INV_NO
20,I-INV_NO
-,I-INV_NO
21,I-INV_NO
ICC,O
Complex,O
Senapati,O
Bapat,O
Road,O
Near,O
Eklavaya,O
College,O
Kothrud,O
Invoice,B-INV_DL
Date,I-INV_DL
:,O
02-Jul-20,B-INV_DT
Pune,O
-,O
411016,O
Pune,O
Order,O
No,O
:,O
14099,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
Cont-,O
Abhishek,O
Sing/,O
7774076332,O
Order,O
Date,O
:,O
01-Jul-20,O
PAN,O
No,O
.,O
:,O
AAZFS3607C,O
Mode,O
of,O
Despatch,O
:,O
By,O
Hand,O
Site,O
Name,O
:,O
Kasi,O
Kapadi,O
Puram,O
Kothrud,O
Payment,O
Terms,O
LR,O
.,O
No,O
/,O
Date,O
Sr,O
.,O
DESCRIPTION,O
HSN,O
GST,O
QUANTITY,O
UNIT,O
RATE,O
DISC,O
AMOUNT,O
No,O
ISAC,O
%,O
12,O
Dowells,O
ALS218,O
Aluminium,O
Ring,O
Type,O
Lugs,O
25,O
mm,O
85389000,O
18,O
4,O
Nos,O
3.5,O
14,O
(,O
-,O
KB,O
-,O
626,O
-,O
0,O
-,O
4,O
Nos,O
),O
C,O
"3,789.80",O
341.1,O
341.1,O
Total,O
Amount,O
In,O
-,O
words,O
:,O
INR,O
Four,O
Thousand,O
Four,O
Hundred,O
Seventy,O
Two,O
Only,O
.,O
Net,O
Amount,O
Bank,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
LTD,O
Terms,O
&,O
Conditions,O
:,O
Output,O
CGST,O
A,O
/,O
c,O
No,O
:,O
5.09044E+11,O
1,O
),O
Goods,O
once,O
sold,O
/,O
delivered,O
will,O
not,O
be,O
taken,O
back,O
.,O
Output,O
SGST,O
IFSC,O
:,O
KKBK0001769,O
2)Our,O
risk,O
&,O
responsibility,O
ceases,O
as,O
soon,O
as,O
goods,O
leaves,O
our,O
premises,O
.,O
Branch,O
:,O
FC,O
Road,O
Pune,O
3)Payment,O
to,O
be,O
made,O
within,O
due,O
date,O
/,O
C.O.D.,O
4)interest,O
will,O
be,O
charged,O
@,O
24,O
%,O
PA,O
on,O
remaining,O
unpaid,O
invoice,O
after,O
due,O
date,O
.,O
Grand,B-GT_AMTL
Total,I-GT_AMTL
Declaration,O
:,O
We,O
declare,O
that,O
this,O
invoice,O
shows,O
the,O
actual,O
price,O
of,O
the,O
goods,O
described,O
and,O
that,O
all,O
particulars,O
are,O
TRUE,O
and,O
correct,O
.,O
HSN,O
/,O
SAC,O
Basic,O
Add,O
/,O
Less,O
Taxable,O
Central,O
Tax,O
State,O
Tax,O
Value,O
Appr,O
.,O
Value,O
Value,O
Rate,O
Amount,O
Rate,O
Amount,O
85389000,O
"3,789.80",O
"3,789.80",O
9,O
%,O
341.1,O
9,O
%,O
341.1,O
Total,O
"3,789.80",O
"3,789.80",O
341.1,O
341.1,O
"4,472",B-GT_AMT
Total,O
Tax,O
Amount,O
682.2,O
682.2,O
STONES,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
INR,O
Six,O
Hundred,O
Eighty,O
Two,O
and,O
Twenty,O
paise,O
Only,O
Received,O
above,O
material,O
in,O
good,O
condition,O
&,O
order,O
Checked,O
By,O
For,O
INDIA,O
CABLES,O
