Text,Tag
||,O
OM,O
||,O
Tc,O
INDIA,B-SUPP_N
CABLES,I-SUPP_N
Corporate,O
Office,O
Address:410,O
Ishwari,O
Krupa,O
Apartments,O
Near,O
Pasodya,O
Vithobha,O
Mandir,O
Budhwar,O
Peth,O
Pune,O
-,O
411002,O
PH,O
:,O
20,O
-,O
6640,O
5720,O
/,O
5721,O
66029616,O
Website,O
:,O
www.indiacables.in,O
E,O
-,O
Mail,O
:,O
sales@indiacables.in,O
.,O
GST,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AAFF14780E1ZC,B-SUPP_G
PAN,O
No,O
:,O
AAFF14780E,O
Dispatch,O
From,O
:,O
410,O
Ishwari,O
Krupa,O
Apartments,O
Near,O
Pasodya,O
Vithoba,O
Mandir,O
Budhwar,O
Peth,O
Pune.411002,O
TAX,O
INVOICE,O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
Bill,O
To,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
Ship,O
To,O
:,O
SIDDHARTH,O
PROPERTIES,O
e,O
-,O
Way,O
Bill,O
No,O
601,O
&,O
602,O
A,O
Wing,O
MCCIA,O
Trade,O
Tower,O
SITE,O
-,O
MADHUWANTI,O
Invoice,B-INV_L
No,I-INV_L
:,O
N-0810,B-INV_NO
-,I-INV_NO
20,I-INV_NO
-,I-INV_NO
21,I-INV_NO
ICC,O
Complex,O
Senapati,O
Bapat,O
Road,O
Kothrud,O
Invoice,B-INV_DL
Date,I-INV_DL
:,O
05-Aug-20,B-INV_DT
Pune,O
-,O
411016,O
Mo,O
No-9860429954,O
Order,O
No,O
:,O
SAA,O
/,O
MI/2020/14106,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
8208924990,O
Order,O
Date,O
:,O
04-Jul-20,O
PAN,O
No,O
.,O
:,O
AAZFS3607C,O
Mode,O
of,O
Despatch,O
:,O
Site,O
Name,O
:,O
MADHUWANTI,O
Payment,O
Terms,O
LR,O
.,O
No,O
/,O
Date,O
Sr,O
.,O
DESCRIPTION,O
HSN,O
GST,O
QUANTITY,O
UNIT,O
RATE,O
DISC,O
AMOUNT,O
No,O
ISAC,O
%,O
1,O
Indoasian,O
Optipro,O
MCB,O
20,O
Amp,O
3,O
Pole,O
10KA,O
C,O
85362030,O
18,O
5,O
Nos,O
725,O
"3,625",O
Curve,O
(,O
-,O
NS,O
-,O
5,O
-,O
0,O
-,O
5,O
Nos,O
),O
2,O
MCB,O
Box,O
MS,O
3,O
-,O
4,O
Pole,O
85371000,O
18,O
5,O
Nos,O
0.01,O
0.05,O
8546,O
18,O
20,O
Nos,O
9,O
180,O
85371000,O
18,O
20,O
Nos,O
125,O
30,O
%,O
"1,750",O
(,O
-,O
Mkt,O
-,O
5,O
-,O
0,O
-,O
5,O
Nos,O
),O
Depcon,O
3,O
Steelgrip,O
Insulation,O
Tape,O
(,O
-,O
NS,O
-,O
2529,O
-,O
0,O
-,O
20,O
Nos,O
),O
4,O
Metal,O
Clad,O
Plug,O
20Amp,O
3,O
Pole,O
(,O
-,O
Mkt,O
-,O
20,O
-,O
0,O
-,O
