Text,Tag
II,O
OM,O
11,O
Skybay,O
C,O
INDIA,B-SUPP_N
CABLES,I-SUPP_N
Corporate,O
Office,O
Address:410,O
Ishwari,O
Krupa,O
Apartments,O
Near,O
Pasodya,O
Vithobha,O
Mandir,O
Budhwar,O
Peth,O
Pune,O
-,O
411002,O
PH,O
:,O
20,O
-,O
6640,O
5720,O
/,O
5721,O
66029616,O
Website,O
:,O
www.indiacables.in,O
E,O
-,O
Mail,O
:,O
sales@indiacables.in,O
GST,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27AAFF14780E1ZC,B-SUPP_G
PAN,O
NO,O
:,O
AAFF14780E,O
Dispatch,O
From,O
:,O
410,O
Ishwari,O
Krupa,O
Apartments,O
Near,O
Pasodya,O
Vithoba,O
Mandir,O
Budhwar,O
Peth,O
Pune.411002,O
TAX,O
INVOICE,O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
Bill,O
To,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
Ship,O
To,O
:,O
SIDDHARTH,O
PROPERTIES,O
e,O
-,O
Way,O
Bill,O
No,O
:,O
601,O
&,O
602,O
A,O
Wing,O
MCCIA,O
Trade,O
Tower,O
SITE,O
-,O
SAARRTHI,O
SKYBAY,O
Invoice,B-INV_L
No,I-INV_L
:,O
N-2186,B-INV_NO
-,I-INV_NO
20,I-INV_NO
-,I-INV_NO
21,I-INV_NO
ICC,O
Complex,O
Senapati,O
Bapat,O
Road,O
Sr,O
.,O
No.60/1,O
Mouze,O
Mhalunge,O
Taluka,O
Mulshi,O
Invoice,B-INV_DL
Date,I-INV_DL
:,O
09-Oct-20,B-INV_DT
Pune,O
-,O
411016,O
Dis,O
.,O
Pune-411016,O
Order,O
No,O
:,O
SAA,O
/,O
MH/2020/14235,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
Cont-9552541121,O
Order,O
Date,O
:,O
28-Aug-20,O
PAN,O
No,O
.,O
:,O
AAZFS3607C,O
Mode,O
of,O
Despatch,O
:,O
Site,O
Name,O
:,O
SAARRTHI,O
SKYBAY,O
Payment,O
Terms,O
LR,O
.,O
No,O
/,O
Date,O
:,O
Sr,O
.,O
DESCRIPTION,O
HSN,O
GST,O
QUANTITY,O
UNIT,O
RATE,O
DISC,O
AMOUNT,O
No,O
ISAC,O
%,O
Main,O
Switch,O
63Amp,O
415V,O
85361090,O
18,O
1,O
Nos,O
"3,285",O
35,O
%,O
"2,135.25",O
(,O
-,O
Mkt,O
-,O
1,O
-,O
1,O
-,O
1,O
Nos,O
),O
Make-,O
Vilas,O
2,O
Polycab,O
MCB,O
40,O
Amp,O
4,O
Pole,O
10KA,O
C,O
Curve,O
85362030,O
18,O
3,O
Nos,O
"2,203",O
55,O
%,O
"2,974.05",O
(,O
-,O
NS,O
-,O
7,O
-,O
0,O
-,O
3,O
Nos,O
),O
:,O
:,O
Pio-14235,O
GR10,O
-,O
222801,O
C.NO,O
tho,O
"5,109.30",O
500,O
504.84,O
504.84,O
0.02,O
"6,619",B-GT_AMT
Total,O
Amount,O
In,O
-,O
words,O
:,O
INR,O
Six,O
Thousand,O
Six,O
Hundred,O
Nineteen,O
Only,O
.,O
Net,O
Amount,O
Bank,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
LTD,O
Terms,O
&,O
Conditions,O
:,O
Transport,O
Charges,O
GST,O
A,O
/,O
C,O
No,O
:,O
5.09044E+11,O
1,O
),O
Goods,O
once,O
sold,O
/,O
delivered,O
will,O
not,O
be,O
taken,O
back,O
.,O
IFSC,O
:,O
KKBK0001769,O
2)Our,O
risk,O
&,O
responsibility,O
ceases,O
as,O
soon,O
as,O
goods,O
leaves,O
our,O
premises,O
.,O
Output,O
CGST,O
Branch,O
:,O
FC,O
Road,O
Pune,O
3,O
),O
Payment,O
to,O
be,O
made,O
within,O
due,O
date,O
/,O
C.O.D.,O
Output,O
SGST,O
4)Interest,O
will,O
be,O
charged,O
@,O
24,O
%,O
PA,O
on,O
remaining,O
unpaid,O
invoice,O
after,O
due,O
ROUND,O
OFF,O
(,O
SALES,O
],O
date,O
.,O
Grand,B-GT_AMTL
Total,I-GT_AMTL
Declaration,O
:,O
We,O
declare,O
that,O
this,O
invoice,O
shows,O
the,O
actual,O
price,O
of,O
the,O
goods,O
described,O
and,O
that,O
all,O
particulars,O
are,O
TRUE,O
and,O
correct,O
.,O
HSN,O
/,O
SAC,O
Basic,O
Add,O
/,O
Less,O
Taxable,O
Central,O
Tax,O
State,O
Tax,O
Value,O
Appr,O
.,O
Value,O
Value,O
Rate,O
Amount,O
Rate,O
Amount,O
85361090,O
"2,135.25",O
208.96,O
"2,344.21",O
9,O
%,O
210.98,O
9,O
%,O
210.98,O
85362036,O
"2,974.05",O
291.04,O
"3,265",O
9,O
%,O
293.86,O
9,O
%,O
293.86,O
Total,O
"5,109.30",O
500,O
"5,609.30",O
504.84,O
504.84,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
INR,O
One,O
Thousand,O
Nine,O
and,O
Sixty,O
Eight,O
paise,O
Only,O
Received,O
above,O
material,O
in,O
good,O
condition,O
&,O
order,O
Checked,O
By,O
For,O
INDIA,O
CABLES,O
Total,O
Tax,O
Amount,O
421.96,O
587.72,O
"1,009.68",O
GAD,O
A,O
Customer,O
's,O
Sion,O
&,O
Name,O
Date,O
Authorised,O
Signatory,O
