Text,Tag
Nut,O
Contim,O
Saksham,B-SUPP_N
&,I-SUPP_N
CO,I-SUPP_N
303,O
Lloyds,O
Chamber,O
Mangalwar,O
Peth,O
Pune,O
Mob,O
:,O
91,O
-,O
8381086284,O
MAHARASHTRA,O
INDIA,O
TAX,O
INVOICE,O
(,O
See,O
rule,O
46,O
read,O
with,O
Section,O
31,O
of,O
the,O
Central,O
Goods,O
And,O
Services,O
Tax,O
Act,O
2017,O
),O
ORIGINAL,O
FOR,O
RECIPIENT,O
DUPLICATE,O
FOR,O
TRANSPORTER,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
:,O
10,B-INV_NO
Date,B-INV_DL
:,O
11-07-2020,B-INV_DT
GST,B-GSTL
IN,I-GSTL
:,O
27BEMPLO248G1ZH,B-SUPP_G
Details,O
of,O
Buyer,O
(,O
Billed,O
to,O
),O
Name,O
Siddarth,B-BUY_N
Properties,I-BUY_N
TRIPLICATE,O
FOR,O
SUPPLIER,O
Details,O
of,O
Consignee,O
(,O
Shiped,O
to,O
),O
Name,O
Siddarth,O
Properties,O
Eden,O
Court,O
Model,O
Colony,O
Pune,O
Skybay,O
Society,O
Mahalunge,O
Balevadi,O
GST,B-GSTL
IN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
State,O
Code,O
:,O
27,O
GST,O
IN,O
:,O
27AAZFS3607C1ZY,O
State,O
Code,O
:,O
27,O
Tel,O
.,O
No,O
.,O
:,O
8308373800,O
Tel,O
.,O
No,O
.,O
:,O
9764119884,O
Customer,O
PO,O
No,O
.,O
:,O
Conformation,O
with,O
Anil,O
Babar,O
Sir,O
for,O
works,O
Challan,O
No,O
's,O
:,O
skubay,O
Date,O
of,O
Supply,O
:,O
03.07.2020,O
Place,O
of,O
Work,O
:,O
Balevadi,O
Pune,O
Paym,O
.,O
erms,O
:,O
Immediate,O
After,O
work,O
Completion,O
Sr,O
.,O
No,O
.,O
Description,O
Specification,O
of,O
Goods,O
HSN,O
Rate,O
Quantity,O
Total,O
Discount/,O
Taxable,O
Code,O
Value,O
Abatement,O
Value,O
Sft,O
.,O
(,O
INR,O
),O
(,O
INR,O
),O
(,O
INR,O
),O
1,O
Paver,O
Blocks,O
68101190,O
44,O
1200,O
52800,O
52800,O
200x100x60,O
mm,O
M40,O
P.o-14125,O
GRN-22083/1,O
C.NO,O
gh,O
52800,O
Remarks,O
:,O
Repair,O
works,O
were,O
done,O
as,O
per,O
instructions,O
from,O
Vishal,O
Sir,O
0,O
0,O
Add,O
:,O
Freight,O
Add,O
:,O
Other,O
(,O
Insurance/,O
P&F,O
etc,O
),O
Less,O
:,O
Advance,O
Recevied,O
Total,O
Taxable,O
Value,O
(,O
A,O
),O
0,O
In,O
INR,O
"52,800.00",O
Amount,O
in,O
words,O
9,O
%,O
CGST,O
In,O
INR,O
"4,752.00",O
Total,O
Invoice,O
Amount,O
in,O
(,O
Rs,O
.,O
),O
Sixty,O
Two,O
Thousand,O
Three,O
Hundred,O
Four,O
Rupees,O
Only,O
9,O
%,O
SGST,O
In,O
INR,O
"4,752.00",O
Total,O
Invoice,O
Amount,O
Words,O
Sixty,O
Two,O
Thousand,O
Three,O
Hundred,O
Four,O
Rupees,O
Only,O
0,O
%,O
Integrated,O
Tax,O
(,O
IGST,O
),O
In,O
INR,O
GST,O
Payable,O
on,O
Reverse,O
Charge,O
:,O
N.,O
A.,O
Round,O
off,O
GRAND,B-GT_AMTL
TOTAL,I-GT_AMTL
"62,304",B-GT_AMT
In,O
INR,O
For,O
Saksham,O
&,O
Co.,O
Declaration,O
We,O
declare,O
that,O
all,O
particulars,O
given,O
herein,O
are,O
TRUE,O
and,O
correct,O
li,O
Authorised,O
Signatory,O
This,O
is,O
computer,O
generated,O
invoice,O
does,O
n't,O
require,O
signature,O
