Text,Tag,Col0,Col1
SUBJECT,O,,
TO,O,,
PUNE,O,,
JURISDICTION,O,,
voice,B-INV_L,,
No,I-INV_L,,
.,I-INV_L,,
',O,,
05041/17,B-INV_NO,,
-,I-INV_NO,,
18,I-INV_NO,,
/,I-INV_NO,,
GST,I-INV_NO,,
Ref,O,,
.,O,,
No,O,,
.,O,,
Dated,B-INV_DL,,
02-Nov-17,B-INV_DT,,
SHAH,B-SUPP_N,,
MARKETING,I-SUPP_N,,
Shop,O,,
No.6,O,,
Llyods,O,,
Chamber,O,,
Barne,O,,
Road,O,,
409,O,,
Mangalwar,O,,
Peth,O,,
Pune,O,,
GSTIN,B-GSTL,,
/,I-GSTL,,
UIN,I-GSTL,,
:,O,,
27ADXPS3921J1ZT,B-SUPP_G,,
State,O,,
Name,O,,
:,O,,
Maharashtra,O,,
Code,O,,
:,O,,
27,O,,
Contact,O,,
:,O,,
20,O,,
-,O,,
-,O,,
26052747,O,,
E,O,,
-,O,,
Mail,O,,
:,O,,
shahmarketing4@gmail.com,O,,
TAX,O,,
INVOICE(Page,O,,
2,O,,
),O,,
Party,O,,
:,O,,
SIDDHARTH,B-BUY_N,,
PROPERTIES,I-BUY_N,,
-,O,,
S.B.,O,,
Road,O,,
SITE-,O,,
"""",O,,
SKY,O,,
BAY,O,,
"""",O,,
Sr,O,,
No,O,,
60/1,O,,
Mouze,O,,
Mhalunge,O,,
Tal,O,,
-,O,,
Mulshi,O,,
Dist,O,,
-,O,,
Pune,O,,
8308846229/9689921859,O,,
PO,O,,
No-11355,O,,
GSTIN,B-GSTL,,
/,I-GSTL,,
UIN,I-GSTL,,
:,O,,
27AAZFS3607C1ZY,B-BUY_G,,
State,O,,
Name,O,,
:,O,,
Maharashtra,O,,
Code,O,,
:,O,,
27,O,,
Place,O,,
of,O,,
Supply,O,,
:,O,,
Maharashtra,O,,
Contact,O,,
Person,O,,
:,O,,
Mr.,O,,
Thube,O,,
/,O,,
Mane,O,,
Contact,O,,
:,O,,
8308824752,O,,
E,O,,
-,O,,
Mail,O,,
:,O,,
nilesh.mane@saarrthigroup.co.in,O,,
Description,O,,
of,O,,
Goods,O,,
HSN,O,,
/,O,,
SAC,O,,
GST,O,,
Quantity,O,,
Rate,O,,
Rate,O,,
SI,O,,
No,O,,
.,O,,
per,O,,
Disc,O,,
.,O,,
%,O,,
Amount,O,,
Less,O,,
:,O,,
Round,O,,
Off,O,,
(,O,,
-10.31,O,,
go,O,,
Total,B-GT_AMTL,,
*,O,,
"1,79,836",B-GT_AMT,,
Amount,O,,
Chargeable,O,,
(,O,,
in,O,,
words,O,,
),O,,
E.,O,,
&,O,,
O.,O,,
E,O,,
Indian,O,,
Rupees,O,,
One,O,,
Lakh,O,,
Seventy,O,,
Nine,O,,
Thousand,O,,
Eight,O,,
Hundred,O,,
Thirty,O,,
Six,O,,
Only,O,,
HSN,O,,
/,O,,
SAC,O,,
Taxable,O,,
Central,O,,
Tax,O,,
State,O,,
Tax,O,,
Total,O,,
Value,O,,
Rate,O,,
Amount,O,,
Rate,O,,
Amount,O,,
Tax,O,,
Amount,O,,
3917,O,,
3403,O,,
474,O,,
14,O,,
%,O,,
66.36,O,,
14,O,,
%,O,,
66.36,O,,
132.72,O,,
35061000,O,,
9,O,,
%,O,,
322.56,O,,
9,O,,
%,O,,
322.56,O,,
645.12,O,,
8481,O,,
Tax,O,,
Amount,O,,
(,O,,
in,O,,
words,O,,
),O,,
:,O,,
Indian,O,,
Rupees,O,,
Twenty,O,,
Seven,O,,
Thousand,O,,
Four,O,,
Hundred,O,,
Seventy,O,,
Two,O,,
and,O,,
Eighty,O,,
Two,O,,
paise,O,,
Only,O,,
Company,O,,
's,O,,
PAN,O,,
:,O,,
ADXPS3921J,O,,
Company,O,,
's,O,,
Bank,O,,
Details,O,,
Bank,O,,
Name,O,,
:,O,,
KOTAK,O,,
MAHINDRA,O,,
BANK,O,,
Alc,O,,
No,O,,
.,O,,
:,O,,
5711312022,O,,
Branch,O,,
&,O,,
IFS,O,,
Code,O,,
:,O,,
Khadki,O,,
&,O,,
KKBK0000727,O,,
KE,O,,
토,O,,
for,O,,
SHAH,O,,
MARKETING,O,,
Declaration,O,,
I,O,,
/,O,,
We,O,,
hereby,O,,
certify,O,,
that,O,,
my,O,,
/,O,,
our,O,,
reģistration,O,,
certificate,O,,
under,O,,
the,O,,
GST,O,,
Act-2017,O,,
is,O,,
in,O,,
force,O,,
on,O,,
the,O,,
date,O,,
on,O,,
which,O,,
the,O,,
sale,O,,
of,O,,
the,O,,
goods,O,,
specified,O,,
in,O,,
this,O,,
Tax,O,,
Invoice,O,,
is,O,,
made,O,,
by,O,,
me,O,,
/,O,,
us,O,,
and,O,,
that,O,,
A,O,,
A,O,,
ŽNG,O,,
