Text,Tag
GST,O
INVOICE,O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
M,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
SM/19,B-INV_NO
-,I-INV_NO
20/006166,I-INV_NO
Delivery,O
Note,O
Dated,B-INV_DL
10-Dec-19,B-INV_DT
Mode,O
/,O
Terms,O
of,O
Payment,O
Supplier,O
's,O
Ref,O
.,O
Other,O
Reference(s,O
),O
-,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
Shop,O
No.6,O
Llyods,O
Chamber,O
Barne,O
Road,O
409,O
Mangalwar,O
Peth,O
Pune,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
:,O
20,O
-,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
Buyer,O
SIDDHARTH,B-BUY_N
VALUE,I-BUY_N
HOMES,I-BUY_N
LLP,I-BUY_N
GEETAI,O
FLOOR,O
PAUD,O
ROAD,O
NEAR,O
RELIANCE,O
FRESH,O
PUNE,O
.,O
OSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ACZFS03140124,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Buyer,O
's,O
Order,O
No,O
.,O
Dated,O
Despatch,O
Document,O
No,O
.,O
Delivery,O
Note,O
Date,O
Despatched,O
through,O
Destination,O
Terms,O
of,O
Delivery,O
Mh12lt2082,O
Rajkumar,O
PO-421,O
Contact,O
person,O
Contact,O
E,O
-,O
Mail,O
:,O
NILESH,O
MANE,O
:,O
7350000353,O
:,O
nilesh.m@saarrthigroup.com,O
HSN,O
/,O
SAC,O
Rate,O
Description,O
of,O
Goods,O
Quantity,O
Amount,O
per,O
Disc,O
.,O
%,O
SI,O
No,O
.,O
GST,O
Rate,O
1,O
7318,O
111,O
Nos,O
.,O
G,O
...,O
ROD,O
10MM,O
X,O
2,O
MTR,O
18,O
%,O
83,O
Nos,O
.,O
CGST,O
SGST,O
829.17,O
(,O
-)0.34,O
Less,O
:,O
Round,O
Off,O
Homes,O
Savvy,O
Iran,O
SITE,O
NAME,O
:,O
RECEIVED,O
SIGN,O
:,O
DATE,O
:,O
P.O.:GRN,O
:,O
CA,O
13112119,O
:,O
2145017,O
Total,B-GT_AMTL
83,O
Nos,O
.,O
*,O
"10,871",B-GT_AMT
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
E.,O
&,O
0,O
.,O
E,O
Indian,O
Rupees,O
Ten,O
Thousand,O
Eight,O
Hundred,O
Seventy,O
One,O
Only,O
HSN,O
/,O
SAC,O
Taxable,O
Central,O
Tax,O
State,O
Tax,O
Total,O
Value,O
Rate,O
Amount,O
Rate,O
Amount,O
Tax,O
Amount,O
7318,O
9,O
%,O
829.17,O
9,O
%,O
829.17,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
One,O
Thousand,O
Six,O
Hundred,O
Fifty,O
Eight,O
and,O
Thirty,O
Four,O
paise,O
Only,O
MARER,O
Company,O
's,O
Bank,O
Details,O
Company,O
's,O
PAN,O
:,O
ADXPS3921J,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Declaration,O
A,O
/,O
C,O
No,O
.,O
:,O
5711312022,O
I/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
for,O
SHAH,O
MARKETING,O
(,O
MANGALWAR,O
PETH,O
),O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
melus,O
and,O
that,O
the,O
transactions,O
of,O
sales,O
covered,O
by,O
this,O
Tax,O
Invoice,O
has,O
been,O
effected,O
by,O
sale,O
has,O
been,O
paid,O
or,O
shall,O
be,O
paid,O
.,O
Authorised,O
-,O
Signatory,O
piline,O
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
S.,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
