text,tag
GST,O
INVOICE,O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
Shop,O
No.6,O
Llyods,O
Chamber,O
Barne,O
Road,O
409,O
Mangalwar,O
Peth,O
Pune,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
:,O
20,O
-,O
2605264720,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
e,O
Way,O
Bill,O
No,O
SM19,B-INV_NO
-,I-INV_NO
20/00674,I-INV_NO
Delivery,O
Note,O
Dated,B-INV_DL
02-May-19,B-INV_DT
Mode,O
/,O
Terms,O
of,O
Payment,O
ss,O
Other,O
Reference(s,O
),O
Supplier,O
's,O
Ref,O
.,O
QUOTATION294,O
Buyer,O
's,O
Order,O
No,O
.,O
Dated,O
Despatch,O
Document,O
No,O
.,O
Delivery,O
Note,O
Date,O
Buyer,O
SIDDHARTH,B-BUY_N
VALUE,I-BUY_N
HOMES,I-BUY_N
LLP,I-BUY_N
GEETAISANKUL,O
2ND,O
FLOOR,O
PAUD,O
ROAD,O
NEAR,O
RELIANCE,O
FRESH,O
PUNE,O
.,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
27ACZFS0374C1Z4,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Destination,O
Despatched,O
through,O
Mhd,O
Klb,O
Contact,O
person,O
:,O
NILESH,O
MANE,O
Contact,O
7350000353,O
E,O
-,O
Mail,O
:,O
nilesh.m@saarrthigroup.com,O
Terms,O
of,O
Delivery,O
Savvy,O
Homes,O
Sr,O
No,O
272/273,O
Opp,O
to,O
Orrital,O
Hotel,O
Near,O
Vitthal,O
Mandir,O
Hinjiwadi,O
Pimpri,O
Chinchwad,O
Rd,O
Hinjiwadi,O
Phase,O
1,O
Hinjiwadi,O
9689908626-(Po-335,O
),O
MH-12,O
PQ-8755,O
SI,O
No,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
GST,O
Quantity,O
Rate,O
Rate,O
per,O
Disc.%,O
Amount,B-GT_AMTL
1,O
RCC,O
(,O
SPG,O
-,O
NP3,O
),O
PIPE,O
12,O
"""",O
X,O
2,O
MTR,O
Mhd,O
Klb,O
6810,O
18,O
%,O
37,O
Nos,O
.,O
1.240.00,O
Nos,O
"45,880",B-GT_AMT
CGST,O
Po,O
.,O
335,O
SGST,O
"4,129.20",O
"50,9.2",O
"4,129.20",O
"54,138.40",O
(,O
-)0.40,O
Less,O
Round,O
Off,O
LLP,O
31,O
IDEO,O
BOIS,O
2,O
ne,O
SEWOH,O
AVASIS,O
gro,O
3WOH,O
RTH,O
staten,O
ริกาะ,O
Total,O
37,O
Nos,O
.,O
"54,138",O
.,O
1,O
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
Indian,O
Rupees,O
Fifty,O
Four,O
Thousand,O
One,O
Hundred,O
Thirty,O
Eight,O
Only,O
E&O.E,O
C,O
HSN,O
/,O
SAC,O
State,O
Tax,O
Rate,O
Amount,O
6810,O
Taxable,O
Value,O
45.880.00,O
"45,880",O
Central,O
Tax,O
Rate,O
Amount,O
9,O
%,O
"4,129.20",O
"4,129.20",O
Total,O
Tax,O
Amount,O
"8,258.40",O
"8,258.40",O
9,O
%,O
Total,O
"4,129.20",O
"4,129.20",O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
Eight,O
Thousand,O
Two,O
Hundred,O
Fifty,O
Eight,O
and,O
Forty,O
paise,O
Only,O
Company,O
's,O
Bank,O
Details,O
Bank,O
Name,O
KOTAK,O
MAHINDRA,O
BANK,O
AC,O
No,O
.,O
5711312022,O
Branch,O
&,O
IFS,O
Code,O
Khadki,O
&,O
KKBK0000727,O
Company,O
's,O
PAN,O
ADXPS3921J,O
Declaration,O
I,O
/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
melus,O
and,O
that,O
the,O
transactions,O
of,O
sales,O
covered,O
by,O
this,O
Tax,O
Invoice,O
has,O
been,O
effected,O
by,O
sale,O
has,O
been,O
paid,O
or,O
shall,O
be,O
4,O
for,O
SHAH,O
MARKETING,O
(,O
MANGALWAR,O
PETH,O
),O
Shah,O
Authorised,O
Signatory,O
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
