d,Tag
TAX,O
INVOICE(Page,O
2,O
),O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
SM/18,B-INV_NO
-,I-INV_NO
19/07554,I-INV_NO
Delivery,O
Note,O
e,O
-,O
Way,O
Bill,O
No,O
.,O
Dated,B-INV_DL
2.41073E+11,O
12-Jan-19,B-INV_DT
Mode,O
/,O
Terms,O
of,O
Payment,O
Other,O
Reference(s,O
),O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
Shop,O
No.6,O
Llyods,O
Chamber,O
Barne,O
Road,O
409,O
Mangalwar,O
Peth,O
Pune,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
:,O
20,O
-,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
Buyer,O
SIDDHARTH,B-BUY_N
VALUE,I-BUY_N
HOMES,I-BUY_N
LLP,I-BUY_N
GEETAI,O
FLOOR,O
PAUD,O
ROAD,O
NEAR,O
RELIANCE,O
FRESH,O
PUNE,O
.,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ACZFS031401Z4,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Supplier,O
's,O
Ref,O
.,O
QUOTATION2894,O
Buyer,O
's,O
Order,O
No,O
.,O
QUOTATION2894,O
Despatch,O
Document,O
No,O
.,O
Dated,O
12-Jan-19,O
Delivery,O
Note,O
Date,O
Despatched,O
through,O
Destination,O
Terms,O
of,O
Delivery,O
SAWY,O
HOMES,O
SR,O
TO,O
ORRITEL,O
HOTEL,O
NEAR,O
VITTHAL,O
MANDIR,O
HINJEWADI,O
-,O
PH-1,O
PO=282.(9689908626,O
=,O
POPAT,O
BANSODE,O
),O
Contact,O
person,O
Contact,O
:,O
NILESH,O
MANE,O
:,O
7350000353,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
Quantity,O
Rate,O
SI,O
No,O
.,O
Amount,O
GST,O
Rate,O
per,O
Disc,O
.,O
%,O
21,O
E,O
-,O
Z,O
WELD,O
PVC,O
SOLVENT,O
CEMENT,O
500ML,O
22,O
AJAY,O
W.C,O
CONNECTOR,O
110MM,O
X,O
18,O
"""",O
23,O
AJAY,O
PVC,O
SHOE,O
45DEG,O
110MM,O
SF,O
3506,O
3917,O
3917,O
18,O
%,O
80,O
Nos,O
18,O
%,O
60,O
Nos,O
18,O
%,O
80,O
Nos,O
205,O
Nos,O
40,O
Ko,O
228,O
Nos,O
.,O
54,O
%,O
155,O
Nos,O
.,O
54,O
%,O
0.44,O
Round,O
Off,O
Total,B-GT_AMTL
"2,99,293",B-GT_AMT
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
E.,O
&,O
O.E,O
Indian,O
Rupees,O
Two,O
Lakh,O
Ninety,O
Nine,O
Thousand,O
Two,O
Hundred,O
Ninety,O
Three,O
Only,O
HSN,O
/,O
SAC,O
Taxable,O
Central,O
Tax,O
State,O
Tax,O
Total,O
Value,O
Rate,O
Amount,O
Rate,O
Amount,O
Tax,O
Amount,O
3917,O
9,O
%,O
9,O
%,O
765,O
9,O
%,O
765,O
7317,O
9,O
%,O
259.2,O
9,O
%,O
259.2,O
518.4,O
3919,O
9,O
%,O
405,O
9,O
%,O
405,O
810,O
Total,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
Forty,O
Five,O
Thousand,O
Six,O
Hundred,O
Fifty,O
Four,O
and,O
Eighty,O
paise,O
Only,O
Company,O
's,O
Bank,O
Details,O
Company,O
's,O
PAN,O
:,O
ADXPS3921J,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Declaration,O
A,O
/,O
c,O
No,O
.,O
:,O
5711312022,O
I/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
for,O
SHAH,O
MARKETING,O
(,O
MANGALWAR,O
PETH,O
),O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
me,O
/,O
us,O
and,O
that,O
the,O
transactions,O
of,O
sales,O
covered,O
by,O
this,O
Tax,O
Invoice,O
has,O
been,O
effected,O
by,O
sale,O
has,O
been,O
paid,O
or,O
shall,O
be,O
paid,O
.,O
Athorised,O
Signatory,O
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
-,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
Eine,O
