Text,Tag
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
invoice,B-INV_L
No,I-INV_L
.,I-INV_L
06973/17,B-INV_NO
-,I-INV_NO
18,I-INV_NO
/,I-INV_NO
GST,I-INV_NO
Ref,O
.,O
No,O
.,O
QUOTATION385,O
Dated,B-INV_DL
12-Jan-18,B-INV_DT
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
Shop,O
No.6,O
Llyods,O
Chamber,O
Barne,O
Road,O
409,O
Mangalwar,O
Peth,O
Pune,O
#NAME?,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
:,O
20,O
-,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
TAX,O
INVOICE,O
ck,O
),O
Party,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
-,O
S.B.,O
Road,O
Multipurpose,O
Hall,O
Mhalunge,O
Behind,O
Mercedes,O
Benz,O
Showroom,O
(,O
9552541121-Ravi,O
Veer,O
),O
Po,O
No-11562,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
Person,O
:,O
Mr.,O
Thube,O
/,O
Mane,O
Contact,O
:,O
8308824752,O
E,O
-,O
Mail,O
:,O
nilesh.mane@saarrthigroup.co.in,O
Order,O
No,O
.,O
Despatch,O
Docurnent,O
No,O
.,O
Delivery,O
Note,O
QUOTATION385,O
06973/17,O
-,O
18,O
/,O
GST,O
dt,O
.,O
12-Jan-18,O
12-Jan-18,O
SI,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
GST,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
No,O
.,O
Rate,O
1,O
SUPERGRIP,O
RUBER,O
LUBRICANT,O
500GM,O
3403,O
18,O
%,O
2,O
TINT,O
90,O
TIN,O
180,O
2,O
AJAY,O
PVC,O
ELBOW,O
50MM,O
L,O
3917,O
18,O
%,O
80,O
Nost,O
46,O
Nos,O
.,O
3,O
AJAY,O
PVC,O
PIPE,O
50MMX10FT,O
3917,O
18,O
%,O
38,O
Nos,O
318,O
.,O
Nos,O
.,O
54,O
%,O
4,O
AJAY,O
PVC,O
ENDCAP,O
40MM,O
3917,O
18,O
%,O
35,O
Nos,O
.,O
15,O
.,O
Nos,O
.,O
54,O
%,O
241.5,O
5,O
AJAY,O
PVC,O
MULTI,O
FLOOR,O
TRAP,O
110MM,O
3917,O
18,O
%,O
35,O
Nos,O
.,O
193,O
.,O
Nos,O
.,O
54,O
%,O
6,O
SUPERGRIP,O
PVC,O
500,O
ML,O
TIN,O
35061000,O
18,O
%,O
4,O
TIN,O
140,O
.,O
TIN,O
560,O
7,O
50,O
mm,O
x,O
40,O
mm,O
Reducer,O
Bush,O
39174000,O
18,O
%,O
35,O
Nosr,O
15.8,O
Nos,O
.,O
30,O
%,O
387.1,O
8,O
AJAY,O
PVC,O
SHOE,O
45DEG,O
110MM,O
3917,O
18,O
%,O
25,O
Nos,O
136,O
.,O
Nos,O
.,O
54,O
%,O
9,O
AJAY,O
PVC,O
SHOE,O
45DEG,O
75MM,O
3917,O
18,O
%,O
30,O
Nos,O
85,O
Nos,O
.,O
54,O
%,O
10,O
AJAY,O
PVC,O
COUPLER,O
110MM,O
3917,O
18,O
%,O
10,O
Nos,O
.,O
106,O
Nos,O
.,O
54,O
%,O
487.6,O
11,O
AJAY,O
PVC,O
PLAIN,O
BEND,O
110MM,O
3917,O
18,O
%,O
50,O
Nos,O
:,O
146,O
.,O
Nos,O
.,O
54,O
%,O
12,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
110MMX10,O
DIS,O
3917,O
18,O
%,O
25,O
Nos,O
?,O
.,O
Nos,O
.,O
54,O
%,O
13,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
110MMX3FT,O
DIS,O
3917,O
18,O
%,O
20,O
Nos,O
.,O
445,O
.,O
Nos,O
.,O
54,O
%,O
14,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
75MMX10,O
DIS,O
3917,O
18,O
%,O
25,O
Nos,O
.,O
812,O
.,O
Nos,O
.,O
54,O
%,O
15,O
AJAY,O
PVC,O
SHOE,O
40MM,O
3917,O
18,O
%,O
38,O
Nos,O
26,O
Nos,O
.,O
54,O
%,O
454.48,O
F,O
=,O
54,O
%,O
Gst,O
Transport,O
r,O
SGST,O
Less,O
:,O
Rounded,O
Off,O
(,O
-)0.46,O
SITE,O
NAME:-,O
Mulit,O
Purpose,O
Hall,O
RECEIVED,O
SIGN,O
:,O
Crime,O
DATE:-2311118,O
P.O.:-,O
1,O
562,O
GRN:-13,O
59417,O
SHAH,O
continued,O
...,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
TING,O
