d,Tag
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
e,O
-,O
Way,O
Bill,O
No,O
.,O
:,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
09055/17,B-INV_NO
-,I-INV_NO
18,I-INV_NO
/,I-INV_NO
GST,I-INV_NO
Ref,O
.,O
No,O
.,O
QUOTATION1008,O
Dated,B-INV_DL
29-Mar-18,B-INV_DT
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
Shop,O
No.6,O
Llyods,O
Chamber,O
Barne,O
Road,O
409,O
Mangalwar,O
Peth,O
Pune,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
:,O
20,O
-,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
TAX,O
INVOICE(Page,O
2,O
),O
per,O
Disc,O
.,O
%,O
Amount,O
54,O
%,O
685.4,O
54,O
%,O
Party,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
-,O
S.B.,O
Road,O
S.NO:-60/1,O
MOUZE,O
MHALUNGE,O
PUNE,O
.,O
PO,O
NO-11728,O
8308840228,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
Person,O
:,O
Mr.,O
Thube,O
/,O
Mane,O
Contact,O
:,O
8308824752,O
E,O
-,O
Mail,O
:,O
nilesh.mane@saarrthigroup.co.in,O
SI,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
GST,O
Quantity,O
Rate,O
No,O
.,O
Rate,O
22,O
AJAY,O
PVC,O
PLAIN,O
S,O
/,O
Y,O
75MM,O
3917,O
18,O
%,O
10,O
Nos,O
149,O
Nos,O
.,O
RF,O
23,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
110MMX10,O
D,O
/,O
S,O
3917,O
18,O
%,O
5,O
Nos,O
.,O
Nos,O
.,O
S,O
/,O
E,O
24,O
AJAY,O
PVC,O
PIPE,O
110MMX2FT,O
DIS,O
3917,O
18,O
%,O
10,O
Nos,O
.,O
221,O
Nos,O
.,O
RF,O
25,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
110MMX4FT,O
D,O
/,O
S,O
3917,O
18,O
%,O
8,O
Nos,O
.,O
1606,O
Nos,O
.,O
S,O
/,O
F,O
26,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
110MMXOFT,O
DIS,O
3917,O
18,O
%,O
18,O
Nos,O
.,O
914,O
Nos,O
.,O
S,O
/,O
F,O
27,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
75MMX10,O
DIS,O
3917,O
18,O
%,O
160,O
Nos,O
.,O
881,O
Nos,O
.,O
S,O
/,O
F,O
28,O
AJAY,O
PVC,O
PIPE,O
75MMX2FT,O
DIS,O
3917,O
18,O
%,O
20,O
Nosa,O
7141,O
Nos,O
.,O
S,O
/,O
F,O
29,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
75MMX2FT,O
D,O
/,O
S,O
3917,O
18,O
%,O
30,O
Nos,O
.,O
226,O
Nos,O
.,O
S,O
/,O
F,O
30,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
75MMX4FT,O
DIS,O
3917,O
18,O
%,O
5,O
Nos,O
.,O
397,O
Nos,O
.,O
SIF,O
31,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
75MMXOFT,O
DIS,O
3917,O
18,O
%,O
33,O
Nos,O
.,O
De562.00,O
Nos,O
.,O
S,O
/,O
F,O
32,O
AJAY,O
PVC,O
PLAIN,O
DIY,O
75MM,O
3917,O
18,O
%,O
5,O
Nos,O
214,O
Nos,O
.,O
RF,O
33,O
AJAY,O
PVC,O
ELBOW,O
50MM,O
3917,O
18,O
%,O
139,O
Nos,O
.,O
52,O
Nos,O
.,O
34,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE110MMX1OFT,O
S,O
/,O
S,O
3917,O
18,O
%,O
60,O
Nos,O
.,O
Nos,O
.,O
RE,O
35,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE110MMX10FT,O
SIS,O
3917,O
18,O
%,O
90,O
Nos,O
.,O
S,O
/,O
F,O
36,O
AJAY,O
PVC,O
PIPE,O
50MMX10FT,O
3917,O
18,O
%,O
95,O
Nos,O
.,O
346,O
Nos,O
.,O
37,O
AJAY,O
PVC,O
PIPE,O
75MMX10FT,O
SIS,O
3917,O
18,O
%,O
10,O
Nos,O
.,O
450,O
Nos,O
.,O
RF,O
38,O
AJAY,O
PVC,O
SHOE,O
40MM,O
3917,O
18,O
%,O
165,O
NOS,O
:,O
29,O
Nos,O
.,O
39,O
AJAY,O
PVC,O
TEE,O
50MM,O
3917,O
18,O
%,O
15,O
Nos,O
.,O
59,O
Nos,O
.,O
40,O
AJAY,O
PVC,O
SHOE,O
45DEG,O
75MM,O
3917,O
18,O
%,O
22,O
Nos,O
.,O
93,O
Nos,O
.,O
R,O
/,O
F,O
54,O
%,O
54,O
%,O
492.2,O
54,O
%,O
54,O
%,O
407.1,O
941.16,O
CGST,O
SGST,O
continued,O
...,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
