Text,Tag
TAX,O
INVOICE,O
(,O
K,O
),O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
e,O
-,O
Way,O
Bill,O
No,O
.,O
Dated,B-INV_DL
Shop,O
No.6,O
Llyods,O
Chamber,O
Barne,O
Road,O
SM/18,B-INV_NO
-,I-INV_NO
19/00035,I-INV_NO
05-Apr-18,B-INV_DT
409,O
Mangalwar,O
Peth,O
Pune,O
Delivery,O
Note,O
Mode,O
/,O
Terms,O
of,O
Payment,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
SM/18,O
-,O
19/00035,O
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Supplier,O
's,O
Ref,O
.,O
Other,O
Reference(s,O
),O
Contact,O
:,O
20,O
-,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
QUOTATION34,O
SKY,O
BAY,O
Buyer,O
Buyer,O
's,O
Order,O
No,O
.,O
Dated,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
-,O
S.B.,O
Road,O
QUOTATION34,O
05-Apr-18,O
601,O
&,O
602,O
A,O
WING,O
MCCIA,O
Trade,O
Tower,O
ICC,O
Complex,O
Despatch,O
Document,O
No,O
.,O
Delivery,O
Note,O
Date,O
S.B.,O
Road,O
Pune-411016,O
Mr.,O
Thube-08308824752,O
05-Apr-18,O
20,O
-,O
25433363/25433342,O
/,O
25435243/25433361,O
Despatched,O
through,O
Destination,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Terms,O
of,O
Delivery,O
MAHALUNGE,O
TAL,O
-,O
MULSI,O
DIST,O
-,O
PUNE,O
PO-11755(8308846229/9689921859,O
),O
Contact,O
person,O
Contact,O
E,O
-,O
Mail,O
:,O
Mr.,O
Thube,O
/,O
Mane,O
:,O
8308824752,O
:,O
nilesh.mane@saarrthigroup.co.in,O
SI,O
No,O
.,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
GST,O
Rate,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
1,O
UPVC,O
F.T.A,O
BRASS,O
1,O
01-Apr,O
"""",O
SCH-80,O
(,O
AJAY,O
),O
2,O
UPVC,O
SOCKET,O
1,O
01-Apr,O
"""",O
SCH-80,O
(,O
AJAY,O
),O
3,O
UPVC,O
NON,O
NSF,O
BALVALVE,O
11-Apr,O
"""",O
(,O
AJAY,O
),O
4,O
UPVC,O
M.T.A,O
BRASS,O
1,O
01-Apr,O
"""",O
SCH-80,O
(,O
AJAY,O
),O
5,O
UPVC,O
Elbow,O
1,O
01-Apr,O
"""",O
90Deg,O
Sch-80,O
(,O
Ajay,O
),O
6,O
UPVC,O
END,O
CAP,O
1,O
01-Apr,O
"""",O
Sch-80,O
(,O
AJAY,O
),O
7,O
UPVC,O
TEE,O
1,O
01-Apr,O
"""",O
Sch-80,O
(,O
AJAY,O
),O
8,O
Upvc,O
-,O
Sch80,O
Pipe,O
-,O
1,O
"1/4""X",O
3mtr(Ajay,O
),O
3917,O
3917,O
8481,O
3917,O
3917,O
3917,O
3917,O
3917,O
18,O
%,O
300,O
Nos,O
.,O
18,O
%,O
80,O
Nos,O
.,O
18,O
%,O
40,O
Nost,O
18,O
%,O
100,O
Nos,O
.,O
18,O
%,O
740,O
Nos,O
.,O
18,O
%,O
140,O
Nos,O
18,O
%,O
20,O
Nos,O
.,O
V18,O
%,O
210,O
Nos,O
.,O
267.2,O
Nos,O
.,O
33.30.Nos,O
.,O
343.96,O
Nos,O
.,O
306.6,O
.,O
Nos,O
.,O
49.2,O
.,O
Nos,O
.,O
23.4,O
Nos,O
.,O
63,O
.,O
Nos,O
.,O
646.5,O
Nos,O
.,O
54,O
%,O
54,O
%,O
54,O
%,O
54,O
%,O
54,O
%,O
54,O
%,O
54,O
%,O
54,O
%,O
0.5,O
SITE,O
NAME,O
:,O
RECEIVED,O
Skybay,O
Round,O
Om,O
DATE:-,O
17418,O
GRN:-,O
1387411,O
11755,O
Total,B-GT_AMTL
Nos,O
.,O
"1,64,984",B-GT_AMT
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
E,O
&,O
O.E,O
Indian,O
Rupees,O
One,O
Lakh,O
Sixty,O
Four,O
Thousand,O
Nine,O
Hundred,O
Eighty,O
Four,O
Only,O
HSN,O
/,O
SAC,O
Taxable,O
Central,O
Tax,O
State,O
Tax,O
Total,O
Value,O
Rate,O
Amount,O
Rate,O
Amount,O
Tax,O
Amount,O
3917,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
Twenty,O
Five,O
Thousand,O
One,O
Hundred,O
Sixty,O
Six,O
and,O
Ninety,O
Six,O
paise,O
Only,O
Aro,O
MARI,O
Company,O
's,O
Bank,O
Details,O
Company,O
's,O
PAN,O
:,O
ADXPS3921J,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Declaration,O
A,O
/,O
c,O
No,O
.,O
:,O
5711312022,O
I,O
/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
for,O
SHAH,O
MARKETING,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
me,O
/,O
us,O
