Text,Tag
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
Dated,B-INV_DL
09-Oct-17,B-INV_DT
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
64600/17,B-INV_NO
-,I-INV_NO
18,I-INV_NO
/,I-INV_NO
GST,I-INV_NO
Ref,O
.,O
No,O
.,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
409,O
Mangalwar,O
Peth,O
Llyods,O
Chambers,O
Shop,O
No,O
6Pune-11,O
20,O
-,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
Contact,O
:,O
20,O
-,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
TAX,O
INVOICE,O
ck,O
),O
.,O
Party,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
SAARTHI,O
SWADESH,O
GAT,O
NO,O
:,O
359,O
A,O
/,O
P,O
JAMBHUL,O
NEAR,O
RAILWAY,O
STATION,O
TAL,O
-,O
PUNE,O
.,O
PO,O
NO:11306.(8378964020,O
),O
.,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Place,O
of,O
Supply,O
:,O
Maharashtra,O
Delivery,O
Note,O
04600/17,O
-,O
18,O
/,O
GST,O
dt,O
.,O
09-Oct-17,O
Despatch,O
Document,O
No,O
.,O
Amount,O
112,O
v,O
는,O
SI,O
Description,O
of,O
Goods,O
No,O
.,O
1,O
CPVC,O
ELBOW,O
BRASS,O
01-Feb,O
"""",O
(,O
AJAY,O
),O
2,O
CPVC,O
TEE,O
BRASS,O
(,O
AJAY,O
),O
3,O
CPVC,O
F.L.A,O
BRASS,O
01-Feb,O
"""",O
(,O
AJAY,O
),O
4,O
CPVC,O
M.T.A,O
BRASS,O
01-Feb,O
"""",O
(,O
AJAY,O
),O
CPVC,O
ELBOW,O
01-Feb,O
"""",O
90DEG,O
(,O
AJAY,O
),O
6,O
CPVC,O
END,O
CAP,O
01-Feb,O
"""",O
(,O
AJAY,O
),O
7,O
CPVC,O
TEE,O
01-Feb,O
"""",O
(,O
AJAY,O
),O
8,O
CPVC,O
THREADED,O
PLUG,O
01-Feb,O
"""",O
(,O
AJAY,O
),O
9,O
CPVC,O
SOCKET,O
01-Feb,O
"""",O
(,O
AJAY,O
),O
10,O
CPVC,O
SDR-11,O
PIPE,O
"1/2""X3MTR",O
(,O
AJAY,O
),O
11,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
110MMX10,O
DIS,O
12,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
75MMX10,O
DIS,O
13,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
75MMX3FT,O
DIS,O
14,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE,O
75MMX4FT,O
DIS,O
15,O
AJAY,O
PVC,O
ELBOW,O
40MM,O
16,O
AJAY,O
PVC,O
ENDCAP,O
40MM,O
17,O
AJAY,O
PVC,O
MULTI,O
FLOOR,O
TRAP,O
110MM,O
18,O
AJAY,O
PVC,O
NANHNI,O
TRAP,O
WIO,O
JALI,O
110MM,O
19,O
AJAY,O
PVC,O
PLAIN,O
BEND,O
110MM,O
20,O
AJAY,O
PVC,O
PLAIN,O
TEE,O
75MM,O
21,O
G.I.,O
KHILA,O
2,O
"""",O
22,O
SUPERGRIP,O
PVC,O
1,O
LTR,O
TIN,O
23,O
AJAY,O
PVC,O
PIPE,O
B,O
-,O
TYPE110MMX1OFT,O
S,O
/,O
S,O
24,O
AJAY,O
PVC,O
PIPE,O
40MMX1OFT,O
25,O
AJAY,O
PVC,O
SHOE,O
45DEG,O
110MM,O
6,O
AJAY,O
PVC,O
SHOE,O
45DEG,O
75MM,O
7,O
AJAY,O
PVC,O
SHOE,O
40MM,O
28,O
TAPLONE,O
TAPE,O
29,O
Gi,O
U,O
Bolt,O
with,O
Nut,O
&,O
Washer,O
3,O
"""",O
(,O
May-16,O
),O
30,O
UPVC,O
Elbow,O
1,O
01-Apr,O
"""",O
90Deg,O
Sch-80,O
(,O
Ajay,O
),O
31,O
UPVC,O
END,O
CAP,O
1,O
01-Apr,O
"""",O
Sch-80,O
(,O
AJAY,O
),O
32,O
UPVC,O
M.T.A,O
BRASS,O
1,O
01-Apr,O
"""",O
SCH-80,O
(,O
AJAY,O
),O
33,O
Upvc,O
-,O
Sch80,O
Pipe,O
-,O
1,O
"1/4""X",O
3mtr(Ajay,O
),O
34,O
UPVC,O
FUSION,O
COMPOUND,O
473ml,O
(,O
Ajay,O
),O
35,O
G.IZ,O
Bracket,O
32x75x32,O
36,O
CPVC,O
FUSION,O
COMPOUND,O
236,O
ML,O
(,O
Ajay,O
),O
HSN,O
/,O
SAC,O
GST,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Rate,O
3917,O
18,O
%,O
Nos,O
.,O
63.7,O
Nos,O
.,O
54,O
%,O
3917,O
18,O
%,O
154,O
Nos,O
.,O
74.3,O
Nos,O
.,O
54,O
%,O
3917,O
18,O
%,O
35,O
NOS,O
.,O
119,O
Nos,O
.,O
54,O
%,O
3917,O
n,O
18,O
%,O
294,O
Nos,O
.,O
127.6,O
Nos,O
.,O
54,O
%,O
3917,O
18,O
%,O
Nos,O
.,O
14.5,O
Nos,O
.,O
54,O
%,O
3917,O
18,O
%,O
154,O
Nos,O
.,O
8.9,O
Nos,O
.,O
54,O
%,O
3917,O
18,O
%,O
595,O
Nos,O
.,O
19,O
Nos,O
.,O
54,O
%,O
3917,O
18,O
%,O
1.295.00,O
Nos,O
.,O
10.3,O
Nos,O
.,O
54,O
%,O
3917,O
18,O
%,O
420,O
Nos,O
.,O
10.9,O
Nos,O
.,O
54,O
%,O
3917,O
18,O
%,O
760,O
Nos,O
.,O
237.7,O
Nos,O
.,O
54,O
%,O
39172390V,O
18,O
%,O
126,O
Nos,O
.,O
Nos,O
.,O
54,O
%,O
39172390,O
18,O
%,O
84,O
Nos,O
.,O
800,O
Nos,O
.,O
54,O
%,O
39172390,O
18,O
%,O
28,O
Nos,O
.,O
301,O
Nos,O
.,O
54,O
%,O
39172390,O
18,O
%,O
56,O
Nos,O
.,O
359,O
Nos,O
.,O
54,O
%,O
39174000,O
18,O
%,O
448,O
Nos,O
.,O
27,O
Nos,O
.,O
54,O
%,O
39174000,O
18,O
%,O
132,O
Nos,O
.,O
13,O
Nos,O
.,O
54,O
%,O
39174000,O
18,O
%,O
150,O
Nos,O
.,O
189,O
Nos,O
.,O
54,O
%,O
39174000V8,O
%,O
127,O
Nos,O
.,O
115,O
Nos,O
.,O
54,O
%,O
39174000,O
18,O
%,O
119,O
Nos,O
.,O
142,O
Nos,O
.,O
54,O
%,O
39174000,O
118,O
%,O
65,O
Nos,O
.,O
112,O
Nos,O
.,O
54,O
%,O
7317,O
48,O
%,O
14,O
Box,O
180,O
Box,O
350610008,O
%,O
28,O
TIN,O
220,O
TIN,O
39172390118,O
%,O
28,O
Nos,O
.,O
«,O
Nos,O
.,O
54,O
%,O
39172390,O
18,O
%,O
350,O
