Text,Tag
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
02832/15,B-INV_NO
-,I-INV_NO
16,I-INV_NO
Ref,O
.,O
No,O
.,O
Dated,B-INV_DL
01-Oct-15,B-INV_DT
Shah,B-SUPP_N
Marketing,I-SUPP_N
998A,O
/,O
P,O
Sortapwadi,O
Tal,O
Haveli,O
/Dist,O
Pune,O
Contact,O
:,O
9423580984,O
INVOICE,O
Ok,O
.,O
Po,O
Party,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
SOUVENIR,O
MHALUNGE,O
BHD,O
MERCEDES,O
BENZ,O
SHOWROOM,O
PO,O
NO:9260.ABHISHEK:7774076332,O
Delivery,O
Note,O
2832,O
Despatch,O
Document,O
dt,O
.,O
01-Oct-15,O
VAT,O
%,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
SI,O
Description,O
of,O
Goods,O
No,O
.,O
1,O
S.N.RCC,O
GRATING,O
WIF,O
"24""X24",O
"""",O
F.S.H.D.,O
2,O
S.N.RCC,O
COVER,O
WIF,O
"18""X36",O
"""",O
F.S.L.D.,O
3,O
S.N.,O
RCC,O
COVER,O
W,O
/,O
F,O
"9""X12",O
"""",O
F.S.L.D.,O
12.5,O
25,O
set,O
set,O
15,O
%,O
12.5,O
16,O
set,O
982,O
set,O
15,O
%,O
12.5,O
18,O
set,O
285,O
/,O
set,O
15,O
%,O
61.448.20,O
OUTPUT,O
VAT,O
5,O
%,O
OUTPUT,O
VAT,O
12.5,O
%,O
Round,O
Off,O
5,O
%,O
12.5,O
%,O
Less,O
:,O
!,O
-)O,O
23,O
Total,B-GT_AMTL
59,O
set,O
*,O
"69,129",B-GT_AMT
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
E.,O
&,O
O.E,O
Indian,O
Rupees,O
Sixty,O
Nine,O
Thousand,O
One,O
Hundred,O
Twenty,O
Nine,O
Only,O
•VAT,O
Amount,O
(,O
in,O
words,O
),O
Indian,O
Rupees,O
Seven,O
Thousand,O
Six,O
Hundred,O
Eighty,O
One,O
and,O
Three,O
paise,O
Only,O
(,O
*,O
),O
VAT,O
%,O
Assessable,O
Value,O
VAT,O
Amount,O
12.5,O
%,O
Company,O
's,O
VAT,O
TIN,O
:,O
27110029618,O
V,O
w.e.f,O
.,O
1,O
-,O
4,O
-,O
2006,O
Company,O
's,O
LBT,O
No,O
.,O
:,O
Company,O
's,O
Bank,O
Details,O
Company,O
's,O
CST,O
No,O
.,O
:,O
27110029618,O
C,O
w.e.f,O
.,O
1,O
-,O
4,O
-,O
2006,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Buyer,O
's,O
VAT,O
TIN,O
:,O
27950684779V,O
A,O
/,O
C,O
No,O
.,O
1,O
N,O
5711312022,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
Declaration,O
for,O
Shah,O
Marketing,O
o,O
I,O
/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
Registration,O
certificate,O
under,O
the,O
Maharashtra,O
Value,O
Added,O
Tax,O
Act,O
2005,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
goods,O
specified,O
in,O
this,O
tax,O
invoice,O
is,O
made,O
by,O
me,O
/,O
us,O
and,O
that,O
the,O
transaction,O
of,O
sale,O
covered,O
by,O
this,O
tax,O
invoice,O
has,O
been,O
effected,O
by,O
melus,O
and,O
it,O
shall,O
be,O
accounted,O
for,O
in,O
the,O
turnover,O
of,O
sales,O
filling,O
of,O
return,O
and,O
the,O
due,O
tax,O
if,O
any,O
payable,O
on,O
the,O
sale,O
has,O
been,O
paid,O
or,O
shall,O
be,O
paid,O
Authorised,O
Signatory,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
INVOICE,O
RECEIVED,O
ब,O
MA,O
HVHS,O
