Text,Tag
GST,O
INVOICE,O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
SM/20,B-INV_NO
-,I-INV_NO
21/03628,I-INV_NO
Delivery,O
Note,O
Dated,B-INV_DL
12-Nov-20,B-INV_DT
Mode,O
/,O
Terms,O
of,O
Payment,O
Supplier,O
's,O
Ref,O
.,O
Other,O
Reference(s,O
),O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
Shop,O
No.6,O
Llyods,O
Chamber,O
Barne,O
Road,O
409,O
Mangalwar,O
Peth,O
Pune,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27,B-SUPP_G
ADXPS3921J1ZT,I-SUPP_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
:,O
20,O
-,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
Buyer,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
GEETAI,O
SANKUL,O
2ND,O
FLOOR,O
PAUD,O
ROAD,O
NEAR,O
RELIANCE,O
FRESH,O
PUNE,O
.,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Buyer,O
's,O
Order,O
No,O
.,O
Dated,O
Despatch,O
Document,O
No,O
.,O
Delivery,O
Note,O
Date,O
Despatched,O
through,O
Destination,O
Terms,O
of,O
Delivery,O
Sky,O
Bay,O
Contact,O
person,O
Contact,O
E,O
-,O
Mail,O
:,O
Mr.,O
Thube,O
/,O
Mane,O
:,O
8308824752,O
nilesh.mane@saarrthigroup.co.in,O
Skybay,O
SI,O
No,O
.,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
Quantity,O
Rate,O
GST,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
3917,O
18,O
%,O
100,O
Nos,O
.,O
335,O
Nos,O
.,O
1,O
ASHIRWAD,O
STRAIGHT,O
PAN,O
CONNECTOR,O
APCS2,O
2,O
ASHIRWAD,O
OFFSET,O
PAN,O
CONNECTOR,O
APC02,O
1.8,O
CM,O
3917,O
18,O
%,O
25,O
Nos,O
.,O
445,O
Nos,O
.,O
Son,O
Noo/,O
Gst,O
Transport,O
SGST,O
200,O
0.5,O
CGST,O
Round,O
Off,O
Pio,O
-,O
No-14362,O
*,O
"52,894",B-GT_AMT
E,O
&,O
OE,O
Total,B-GT_AMTL
125,O
Nos,O
.,O
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
Indian,O
Rupees,O
Fifty,O
Two,O
Thousand,O
Eight,O
Hundred,O
Ninety,O
Four,O
Only,O
HSN,O
/,O
SAC,O
Taxable,O
Central,O
Tax,O
Value,O
Rate,O
Amount,O
State,O
Tax,O
Total,O
Rate,O
Amount,O
Tax,O
Amount,O
9,O
%,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
Eight,O
Thousand,O
Sixty,O
Eight,O
and,O
Fifty,O
paise,O
Only,O
Company,O
's,O
Bank,O
Details,O
Company,O
's,O
PAN,O
:,O
ADXPS3921J,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Declaration,O
A,O
/,O
c,O
No,O
.,O
:,O
5711312022,O
I,O
/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
ARG,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
for,O
SHAH,O
MARKETING,O
(,O
MANGALWAR,O
PETH,O
),O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
me,O
/,O
us,O
and,O
that,O
the,O
transactions,O
of,O
sales,O
covered,O
by,O
this,O
Tax,O
Invoice,O
has,O
been,O
effected,O
by,O
sale,O
has,O
been,O
paid,O
or,O
shall,O
be,O
paid,O
.,O
Authorised,O
Signatory,O
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
Pune,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
INI,O
Received,O
