Text,Tag
Delivery,O
Note,O
No,O
.,O
59592,O
Dated,B-INV_DL
08-Feb-16,B-INV_DT
Ref,O
.,O
No,O
.,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
409,O
Mangalwar,O
Peth,O
Llyods,O
Chambers,O
Shop,O
No,O
6Pune-11,O
20,O
-,O
Contact,O
:,O
20,O
-,O
E-Mail:sales.shahmarketing@gmail.com,O
DELIVERY,O
NOTE,O
Party,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
SR,O
MHALUNGE,O
TALUKA,O
MULSI,O
.,O
PO,O
NO:9641.(8308846229,O
),O
Description,O
of,O
Goods,O
Quantity,O
SI,O
No,O
.,O
50,O
Nos,O
.,O
1,O
RCC,O
(,O
SPG,O
),O
PIPE,O
8,O
"""",O
X,O
2,O
MTR,O
SCH,O
CHD,O
MHALUNGE,O
1oo,O
mite,O
continued,O
...,O
SIDDHARTH,O
PROPERTIES,O
SITE,O
-,O
SKYBAY,O
GATE,O
ENTRY,O
NO.:.1763,O
......,O
DATE,O
Sep-21,O
2016,O
IN,O
.,O
DUT,O
IESNE,O
WATCHMAN,O
SIGN,O
.,O
Buss,O
Ž,O
를,O
Samees,O
1210,O
fpom,O
912116,O
PRON,O
SIDDHARTH,O
PROPERT,O
:,O
PERTIES,O
SITE,O
-,O
SKYBAY,O
Store,O
Dept,O
.,O
912,O
et,O
kurium,O
