Text,Tag
1,O
.,O
$,O
xpor15,O
-,O
16,O
Lavoice,B-INV_L
No,I-INV_L
.,I-INV_L
5/200/15,B-INV_NO
-,I-INV_NO
16,I-INV_NO
Dated,B-INV_DL
04-Dec-15,B-INV_DT
Ref,O
.,O
No,O
.,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
409,O
Mangalwar,O
Peth,O
Llyods,O
Chambers,O
Shop,O
No,O
6Pune-11,O
20,O
-,O
Contact,O
:,O
20,O
-,O
E,O
-,O
Mail,O
:,O
sales.shahmarketing@gmail.com,O
TAX,O
INVOICE,O
Party,O
:,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
SOUVENIR,O
BEHIND,O
MERCEDEZ,O
BENZ,O
BANER.(8605016534,O
),O
p.orggg7,O
Despatch,O
Document,O
dt,O
.,O
04-Dec-15,O
Delivery,O
Note,O
57700,O
VAT,O
%,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
SI,O
Description,O
of,O
Goods,O
No,O
.,O
1,O
FRP,O
COVER,O
WIF,O
36,O
"""",O
X,O
18,O
"""",O
ELD(2.5TON,O
),O
2,O
Cartagel,O
Loading,O
/,O
octroi,O
12.5,O
%,O
12.501,O
Noso,O
Nos,O
.,O
38,O
%,O
12.5,O
1,O
lots,O
400,O
lots,O
400,O
OUTPUT,O
VAT,O
5,O
%,O
OUTPUT,O
VAT,O
12.5,O
%,O
Round,O
Off,O
5,O
%,O
12.5,O
%,O
441.38,O
(,O
-0.38,O
Less,O
:,O
que,O
PO:-9997,O
GRN:-1144,O
.,O
4241,O
Total,B-GT_AMTL
"3,972",B-GT_AMT
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
E.,O
&,O
O.E,O
Indian,O
Rupees,O
Three,O
Thousand,O
Nine,O
Hundred,O
Seventy,O
Two,O
Only,O
VAT,O
Amount,O
(,O
in,O
words,O
),O
Indian,O
Rupees,O
Four,O
Hundred,O
Forty,O
One,O
and,O
Thirty,O
Eight,O
paise,O
Only,O
(,O
441.38,O
),O
VAT,O
%,O
Assessable,O
Value,O
VAT,O
Amount,O
12.5,O
%,O
441.38,O
Company,O
's,O
VAT,O
TIN,O
:,O
27110029618,O
V,O
w.e.f,O
.,O
1,O
-,O
4,O
-,O
2006,O
Company,O
's,O
LBT,O
No,O
.,O
:,O
PMC,O
-,O
LBT-076,O
-,O
24351,O
Company,O
's,O
Bank,O
Details,O
Company,O
's,O
CST,O
No,O
.,O
:,O
27110029618,O
Cw.e.f,O
.,O
1,O
-,O
4,O
-,O
2006,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Buyer,O
's,O
VAT,O
TIN,O
:,O
27950684779V,O
Alc,O
No,O
.,O
5711312022,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
Hutbe,O
',O
Jones,O
for,O
SHAH,O
MARKETING,O
(,O
MANGALWAR,O
PETH,O
),O
ouho,O
Declaration,O
i,O
/,O
we,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
Registration,O
Certificate,O
under,O
the,O
Maharashtra,O
Value,O
Added,O
Tax,O
Act,O
2005,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
goods,O
specified,O
in,O
this,O
tax,O
invoice,O
is,O
made,O
by,O
me,O
/,O
us,O
and,O
that,O
the,O
transaction,O
of,O
sale,O
covered,O
by,O
this,O
tax,O
invoice,O
has,O
been,O
effected,O
by,O
melus,O
and,O
it,O
shall,O
be,O
accounted,O
for,O
in,O
the,O
turnover,O
of,O
sales,O
which,O
filling,O
of,O
return,O
and,O
the,O
due,O
tax,O
if,O
any,O
payable,O
on,O
the,O
sale,O
has,O
been,O
paid,O
or,O
shall,O
be,O
paid,O
sample,O
ONIE,O
Reed,O
.,O
Authorised,O
Signatory,O
at,O
site,O
INVOICE,O
RECEIVED,O
),O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
PATE,O
.,O
22112/2015,O
