Text,Tag
GST,O
INVOICE,O
Сс,O
),O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
M,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
SM/20,B-INV_NO
-,I-INV_NO
21/02142,I-INV_NO
Delivery,O
Note,O
e,O
-,O
Way,O
Bill,O
No,O
.,O
Dated,B-INV_DL
23-Sep-20,B-INV_DT
Mode,O
/,O
Terms,O
of,O
Payment,O
Other,O
Reference(s,O
),O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
Shop,O
No.6,O
.,O
Llyods,O
Chamber,O
.,O
Barne,O
Road,O
409,O
Mangalwar,O
Peth,O
Pune,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
:,O
20,O
-,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
Buyer,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
GEETAI,O
SANKUL,O
2ND,O
FLOOR,O
PAUD,O
ROAD,O
NEAR,O
RELIANCE,O
FRESH.PUNE,O
.,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
27AAZFS3607C1ZY,B-BUY_G
State,O
Name,O
Maharashtra,O
Code,O
:,O
27,O
Supplier,O
's,O
Ref,O
.,O
QUOTATION1400,O
Buyer,O
's,O
Order,O
No,O
.,O
QUOTATION1400,O
Despatch,O
Document,O
No,O
.,O
Dated,O
23-Sep-20,O
Delivery,O
Note,O
Date,O
Despatched,O
through,O
Destination,O
Terms,O
of,O
Delivery,O
SAARRTHI,O
SWADESH,O
GAT,O
KANHE,O
RAILWAY,O
PUNE,O
9356694491(PO,O
NO;-14188,O
),O
Contact,O
person,O
Contact,O
E,O
-,O
Mail,O
:,O
Mr.,O
Thube,O
/,O
Mane,O
8308824752,O
nilesh,O
mane@saarrthigroup.co.in,O
วน,O
),O
adesh,O
SI,O
No,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
GST,O
Rate,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
?,O
CISPL,O
PIPE,O
"0""XEFT",O
S,O
/,O
S,O
2,O
CI,O
SPL,O
PIPE,O
"3""XOFT",O
S,O
/,O
S,O
3,O
GI,O
Z,O
BRACKET,O
30X100X30,O
4,O
GIZ,O
BACKET,O
30X75X30,O
7303,O
7303,O
7326,O
7326,O
18,O
17,O
Nos,O
.,O
18,O
%,O
45,O
Nos,O
.,O
186,O
70,O
Nos,O
.,O
18,O
%,O
20,O
Nos,O
.,O
1.544,O
NOS,O
1.361.00,O
Nos,O
.,O
252,O
Nos,O
.,O
210,O
Nos,O
.,O
30,O
%,O
30,O
%,O
25,O
%,O
25,O
%,O
Gst,O
Transport,O
CGST,O
0.38,O
SGST,O
Round,O
Off,O
اان,O
"93,368",B-GT_AMT
E,O
&,O
O.,O
E,O
Total,B-GT_AMTL
152,O
Nos,O
.,O
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
Indian,O
Rupees,O
Ninety,O
Three,O
Thousand,O
Three,O
Hundred,O
Sixty,O
Eight,O
Oniy,O
HSN,O
/,O
SAC,O
Taxable,O
Central,O
Tax,O
Value,O
Rate,O
Amount,O
7303,O
9,O
%,O
State,O
Tax,O
Rate,O
Amount,O
9,O
%,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
Fourteen,O
Thousand,O
Two,O
Hundred,O
Forty,O
Two,O
and,O
Fifty,O
Two,O
paise,O
Only,O
MARK,O
Company,O
's,O
Bank,O
Details,O
Company,O
's,O
PAN,O
ADXPS3921J,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Declaration,O
A,O
/,O
c,O
No,O
.,O
5711312022,O
I,O
/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
for,O
SHAH,O
MARKETING,O
(,O
MANGALWAR,O
PETH,O
),O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
melus,O
and,O
that,O
the,O
transactions,O
of,O
sales,O
covered,O
by,O
this,O
Tax,O
Invoice,O
has,O
been,O
effected,O
by,O
sale,O
has,O
been,O
paid,O
or,O
shall,O
be,O
paid,O
.,O
Authorised,O
Signatory,O
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
Pune,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
