Text,Tag
GST,O
INVOICE,O
(,O
ORIGINAL,O
FOR,O
RECIPIENT,O
),O
M,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
(,O
MANGALWAR,O
PETH,O
),O
Shop,O
No.6,O
Llyods,O
Chamber,O
Barne,O
Road,O
409,O
Mangalwar,O
Peth,O
Pune,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Contact,O
:,O
20,O
-,O
26052647.02,O
-,O
26052747,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
SM/20,B-INV_NO
-,I-INV_NO
21/02219,I-INV_NO
Delivery,O
Note,O
Dated,B-INV_DL
25-Sep-20,B-INV_DT
Mode,O
/,O
Terms,O
of,O
Payment,O
Supplier,O
's,O
Ref,O
.,O
Other,O
Reference(s,O
),O
Buyer,O
's,O
Order,O
No,O
.,O
Dated,O
Despatch,O
Document,O
No,O
.,O
Delivery,O
Note,O
Date,O
Buyer,O
SIDDHARTH,B-BUY_N
PROPERTIES,I-BUY_N
GEETAI,O
SANKUL,O
2ND,O
FLOOR,O
PAUD,O
ROAD.NEAR,O
RELIANCE,O
FRESH,O
PUNE,O
.,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27AAZFS3607C1ZY,B-BUY_G
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Despatched,O
through,O
Destination,O
Terms,O
of,O
Delivery,O
Madhuwanti,O
Sr,O
No;-157,O
Next,O
to,O
Mrutunjaya,O
Mandir,O
Near,O
Karve,O
Statue,O
Karve,O
Nrd,O
Kothrud,O
Pune,O
(,O
Po,O
No;-SAA,O
/,O
MI/2020/14208,O
),O
9860429954/8208924990,O
Contact,O
person,O
:,O
Mr.,O
Thube,O
/,O
Mane,O
Contact,O
:,O
8308824752,O
E,O
-,O
Mail,O
:,O
nilesh.mane@saarrthigroup.co.in,O
Success,O
SI,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
Rate,O
GST,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
1,O
RCC,O
HALF,O
ROUND,O
PIPE,O
12,O
"""",O
X,O
1MTR,O
6810,O
18,O
%,O
122,O
Nos,O
.,O
190,O
Nos,O
.,O
(,O
-)0.40,O
Less,O
:,O
Round,O
Off,O
ho,O
Total,B-GT_AMTL
122,O
Nos,O
.,O
"27,352",B-GT_AMT
E.,O
&,O
O.E,O
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
Indian,O
Rupees,O
Twenty,O
Seven,O
Thousand,O
Three,O
Hundred,O
Fifty,O
Two,O
Only,O
HSN,O
/,O
SAC,O
Taxable,O
Value,O
6810,O
23.180.00,O
Total,O
23,180
Central,O
Tax,O
Rate,O
Amount,O
9,O
%,O
2,86.2
2,86.2
State,O
Tax,O
Total,O
Rate,O
Amount,O
Tax,O
Amount,O
9,O
%,O
2,86.2
4,172.4
2,86.2
4,172.4
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
Four,O
Thousand,O
One,O
Hundred,O
Seventy,O
Two,O
and,O
Forty,O
paise,O
Only,O
Company,O
's,O
Bank,O
Details,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
A,O
/,O
c,O
No,O
.,O
5711312022,O
Branch,O
&,O
IFS,O
Code,O
Khadki,O
&,O
KKBK0000727,O
Company,O
's,O
PAN,O
ADXPS3921J,O
Declaration,O
I,O
/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
melus,O
and,O
that,O
the,O
transactions,O
of,O
sales,O
covered,O
by,O
this,O
Tax,O
Invoice,O
has,O
been,O
effected,O
Ok,O
shall,O
be,O
for,O
SHAH,O
MARKETING,O
(,O
MANGAL,O
WAR,O
PETH,O
),O
Strong,O
ignler,O
Authorised,O
Signatory,O
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
Suchess,O
Sanare,O
Sole,O
This,O
is,O
a,O
Computer,O
Generated,O
Invoice,O
Bothrud,O
