Text,Tag
Siddharth,O
Real,O
Ventures,O
LLP,O
Geetai,O
Floor,O
Paud,O
Road,O
Near,O
Reliance,O
Fresh,O
Pune,O
-,O
411038,O
.,O
Tel,O
:,O
-91,O
-,O
20,O
-,O
25633361,O
132,O
/,O
25635253,O
VAT,O
NO,O
.,O
PAN,O
NO,O
.,O
:,O
ACMFS9508B,O
GSTIN,B-GSTL
NO,I-GSTL
:,O
27ACMFS9508B1ZX,B-SUPP_G
Purchase,O
Order,O
Project,O
:,O
SERENITY,O
PO,O
Date,B-INV_DL
:,O
Apr,B-INV_DT
13,I-INV_DT
2018,I-INV_DT
PO,O
No,O
.,O
:,O
SAA,O
/,O
NN/2018/244,O
Supplier,O
Name,O
&,O
Address,O
Delivery,O
Details,O
&,O
Address,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
Navnamrata,O
998,O
A,O
/,O
P,O
Sortapwadi,O
Tal,O
:,O
Haveli,O
Pune,O
Maharashtra,O
India,O
-,O
41,O
Contact,O
Person,O
:,O
Mr.,O
Ninad,O
Shah,O
Mobile,O
No,O
:,O
91,O
-,O
Mail,O
:,O
sales.shahmarketing@gmail.com,O
GSTIN,O
No,O
.,O
:,O
Sarve,O
No-119/2,O
+,O
3,O
Navnamrata,O
Society,O
Paud,O
Road,O
Pune,O
Kothrud,O
Pune,O
Maharashtra,O
India,O
Contact,O
NoBhushan,O
Dandwate-8308812019,O
&,O
Mahesh,O
Jadhav-7745895778,O
Pune,O
Maharashtra,O
India,O
Phone,O
:,O
7,O
Delivery,O
Date,O
:,O
Apr,O
16,O
2018,O
Transporter,O
:,O
Billing,O
Address,O
Indent,O
Details,O
SI,O
No,O
.,O
Indent,O
No,O
.,O
Indent,O
Date,O
Indent,O
Approve,O
Date,O
:,O
Siddharth,B-BUY_N
Real,I-BUY_N
Ventures,I-BUY_N
LLP,I-BUY_N
OFFICE,O
NO,O
.,O
601,O
&,O
602,O
MCCIA,O
TRADE,O
TOWER,O
ICC,O
COMPLEX,O
SENAPATI,O
BAPAT,O
ROAD,O
#NAME?,O
Maharashtra,O
India,O
-,O
411016,O
GST,B-GSTL
No,I-GSTL
.,I-GSTL
:,O
27ACMFS9508B1ZX,B-BUY_G
1,O
IND,O
/,O
NN,O
/,O
Bd1,O
/,O
SAA,O
/,O
NN/2016/10/16,O
Apr,O
4,O
2018,O
Apr,O
10,O
2018,O
VAT,O
No,O
.,O
:,O
PAN,O
No,O
.,O
:,O
ACMFS9508B,O
Please,O
supply,O
the,O
following,O
material,O
in,O
accordance,O
with,O
the,O
terms,O
and,O
conditions,O
at,O
our,O
site,O
as,O
mentioned,O
below,O
:,O
No,O
.,O
Material,O
Description,O
Remarks,O
Unit,O
Qty,O
.,O
Rate,O
Disc,O
SGST%,O
CGST%,O
IGST%,O
Material,O
Cost,O
1,O
PLUG,O
BEND,O
75,O
MM,O
Nos,O
.,O
2,O
137,O
54,O
9,O
9,O
0,O
126,O
2,O
PLUG,O
BEND,O
110,O
MM,O
Nos,O
.,O
2,O
200,O
54,O
9,O
9,O
0,O
184,O
3,O
D,O
/,O
S,O
PIPE,O
75,O
MM,O
X,O
10'0,O
"""",O
',O
B,O
',O
TYPE,O
Nos,O
.,O
1,O
881,O
54,O
9,O
9,O
0,O
405,O
4,O
D,O
/,O
S,O
PIPE,O
110,O
MM,O
X,O
3,O
MTR,O
',O
B,O
',O
TYPE,O
Nos,O
.,O
10,O
54,O
9,O
9,O
0,O
5,O
ELBOW,O
40,O
MM,O
Nos,O
.,O
5,O
32,O
54,O
9,O
9,O
0,O
74,O
6,O
TANK,O
NIPPLE,O
25,O
MM,O
Nos,O
.,O
1,O
35,O
0,O
9,O
9,O
0,O
35,O
7,O
S,O
/,O
S,O
PIPE,O
40,O
MM,O
X,O
10'0,O
Nos,O
.,O
2,O
220,O
54,O
9,O
9,O
0,O
202,O
8,O
White,O
Solvent,O
No,O
.,O
705,O
UPVC,O
FUSION,O
COMPOUND,O
473ml,O
(,O
Ajay)-,O
4,O
Tins,O
Nos,O
.,O
2,O
738,O
20,O
9,O
9,O
0,O
9,O
R,O
/,O
BUSHING,O
50,O
X,O
40,O
MM,O
Nos,O
.,O
2,O
17,O
25,O
9,O
9,O
0,O
26,O
10,O
UPVC,O
BALL,O
VALVE,O
1,O
"""",O
(,O
NON,O
NSF,O
),O
Nos,O
.,O
1,O
264.5,O
54,O
9,O
9,O
0,O
122,O
11,O
SHOE,O
BEND,O
40,O
MM,O
Nos,O
.,O
2,O
29,O
54,O
9,O
9,O
0,O
27,O
12,O
15,O
mm,O
CPVC,O
Plain,O
Tee,O
Nos,O
.,O
4,O
19,O
54,O
9,O
9,O
0,O
35,O
13,O
15,O
mm,O
CPVC,O
Socket,O
Nos,O
.,O
5,O
10.9,O
54,O
9,O
9,O
0,O
25,O
14,O
15,O
mm,O
CPVC,O
Brass,O
Elbow,O
Nos,O
.,O
5,O
63.7,O
54,O
9,O
9,O
0,O
147,O
15,O
25,O
mm,O
X,O
3,O
Mtr,O
CPVC,O
Pipe,O
(,O
SDR-11,O
),O
Nos,O
.,O
2,O
502.5,O
54,O
9,O
9,O
0,O
462,O
16,O
25,O
mm,O
CPVC,O
Elbow,O
.,O
Nos,O
.,O
5,O
32.5,O
54,O
9,O
9,O
0,O
75,O
17,O
CPVC,O
Solvent,O
(,O
237,O
ML,O
),O
Nos,O
.,O
2,O
356,O
20,O
9,O
9,O
0,O
570,O
18,O
25MM,O
CPVC,O
TEE,O
Nos,O
.,O
1,O
40.6,O
54,O
9,O
9,O
0,O
19,O
19,O
"1/2""X",O
10,O
',O
CPVC,O
PIPE,O
Nos,O
.,O
10,O
225.9,O
