Text,Tag
SUBJECT,O
TO,O
PUNE,O
JURISDICTION,O
Invoice,B-INV_L
No,I-INV_L
.,I-INV_L
03052/17,B-INV_NO
-,I-INV_NO
18,I-INV_NO
/,I-INV_NO
GST,I-INV_NO
Dated,B-INV_DL
04-Aug-17,B-INV_DT
Ref,O
.,O
No,O
.,O
SHAH,B-SUPP_N
MARKETING,I-SUPP_N
409,O
Mangalwar,O
Peth,O
Llyods,O
Chambers,O
Shop,O
No,O
6Pune-11,O
20,O
-,O
GSTIN,B-GSTL
/,I-GSTL
UIN,I-GSTL
:,O
27ADXPS3921J1ZT,B-SUPP_G
Contact,O
:,O
20,O
-,O
E,O
-,O
Mail,O
:,O
shahmarketing4@gmail.com,O
TAX,O
INVOICE,O
Siddharth,B-BUY_N
Real,I-BUY_N
ventures,I-BUY_N
LLP,I-BUY_N
Party,O
:,O
Navnamrata,O
Sr,O
No:119/2,O
+,O
3,O
Navnamrata,O
Soc,O
.,O
.,O
Po,O
No:101.(8308812019/7745895778,O
),O
GSTINUIN,B-GSTL
:,O
2ZAAZFS36076124,O
27,B-BUY_G
AC,I-BUY_G
MFS9508,I-BUY_G
B1ZX,I-BUY_G
Ck,O
),O
State,O
Name,O
:,O
Maharashtra,O
Code,O
:,O
27,O
Place,O
of,O
Supply,O
:,O
Maharashtra,O
Contact,O
Person,O
:,O
Mr.,O
Thube,O
/,O
Mane,O
E,O
-,O
Mail,O
:,O
nilesh.mane@saarrthigroup.co.in,O
Delivery,O
Note,O
03052/17,O
-,O
18,O
/,O
GST,O
dt,O
.,O
04-Aug-17,O
Despatch,O
Document,O
No,O
.,O
SI,O
Description,O
of,O
Goods,O
HSN,O
/,O
SAC,O
GST,O
Rate,O
Quantity,O
Rate,O
per,O
Disc,O
.,O
%,O
Amount,O
No,O
.,O
1,O
RCC,O
(,O
SPG,O
),O
PIPE,O
36,O
"""",O
X,O
2.5,O
MTR,O
68101190,O
18,O
%,O
2,O
Nost,O
Nos,O
.,O
SGST,O
CGST,O
918,O
918,O
Round,O
Off,O
SITE,O
NAME:-,O
Namamrata,O
RECEIVED,O
SIGN:--,O
-,O
P.O.:GRN,O
:,O
C.N.,O
:,O
.,O
Total,B-GT_AMTL
2,O
Nos,O
.,O
*,O
"12,036",B-GT_AMT
Amount,O
Chargeable,O
(,O
in,O
words,O
),O
E,O
&,O
O.E,O
Indian,O
Rupees,O
Twelve,O
Thousand,O
Thirty,O
Six,O
Only,O
HSN,O
/,O
SAC,O
Taxable,O
Central,O
Tax,O
State,O
Tax,O
Value,O
Rate,O
Amount,O
Rate,O
Amount,O
68101190,O
9,O
%,O
918,O
9,O
%,O
918,O
Total,O
918,O
918,O
Tax,O
Amount,O
(,O
in,O
words,O
),O
:,O
Indian,O
Rupees,O
One,O
Thousand,O
Eight,O
Hundred,O
Thirty,O
Six,O
Only,O
Buyer,O
's,O
VAT,O
TIN,O
:,O
27950684779V,O
Company,O
's,O
Bank,O
Details,O
Buyer,O
's,O
CST,O
No,O
.,O
:,O
27950684779C,O
Bank,O
Name,O
:,O
KOTAK,O
MAHINDRA,O
BANK,O
Company,O
's,O
PAN,O
:,O
ADXPS3921J,O
A,O
/,O
C,O
No,O
.,O
:,O
5711312022,O
Branch,O
&,O
IFS,O
Code,O
:,O
Khadki,O
&,O
KKBK0000727,O
Declaration,O
for,O
SHAH,O
MARKETING,O
I,O
/,O
We,O
hereby,O
certify,O
that,O
my,O
/,O
our,O
registration,O
certificate,O
under,O
the,O
GST,O
Act-2017,O
is,O
in,O
force,O
on,O
the,O
date,O
on,O
which,O
the,O
sale,O
of,O
the,O
goods,O
specified,O
in,O
this,O
Tax,O
Invoice,O
is,O
made,O
by,O
melus,O
and,O
that,O
MPPT,O
IN,O
